##name	Military glossary by Adel
##sourceLang	English
##targetLang	Arabic
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1256
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1256
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Adel
##description	
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2013/03/20, 20:43
##bgl_middleUpdated	2013/03/20, 20:45
##bgl_lastUpdated	2013/03/20, 20:45
15VPS	Abbr.: 15VPS<br>\nMeaning: 15 Volt Power Supply<br>\nالمعنى العربي: <br>
SAR	Abbr.: SAR<br>\nMeaning: search &amp; rescue<br>\nالمعنى العربي: البحث والانقاذ<br>
SAU	Abbr.: SAU<br>\nMeaning: Sensor Assembly Unit<br>\nالمعنى العربي: <br>
SCB	Abbr.: SCB<br>\nMeaning: Stinger Control Box<br>\nالمعنى العربي: <br>
SCB	Abbr.: SCB<br>\nMeaning: System Control Box<br>\nالمعنى العربي: <br>
SCI	Abbr.: SCI<br>\nMeaning: sensitive compartmented information<br>\nالمعنى العربي: معلومات حساسة مقتصرة على أفراد معينين<br>
SCSI	Abbr.: SCSI<br>\nMeaning: Small Computer System Interface<br>\nالمعنى العربي: <br>
SDU	Abbr.: SDU<br>\nMeaning: Stinger Distribution Unit<br>\nالمعنى العربي: <br>
SEAD	Abbr.: SEAD<br>\nMeaning: suppression of enemy air defenses<br>\nالمعنى العربي: اخماد الدفاع الجوي للعدو<br>
SEE	Abbr.: SEE<br>\nMeaning: small emplacement excavator<br>\nالمعنى العربي: حفار مواقع صغيرة<br>
SEP	Abbr.: SEP<br>\nMeaning: System Enhancement Program<br>\nالمعنى العربي: <br>
SERE	Abbr.: SERE<br>\nMeaning: survival evasion resistance &amp; escape<br>\nالمعنى العربي: قدرة على البقاء ومراوغة واقاومة وهروب<br>
SEU	Abbr.: SEU<br>\nMeaning: Servo Electronics Unit<br>\nالمعنى العربي: <br>
SF	Abbr.: SF<br>\nMeaning: Special Forces<br>\nالمعنى العربي: قوات خاصة<br>
SF	Abbr.: SF<br>\nMeaning: special forces<br>\nالمعنى العربي: القوات الخاصة<br>
SGCEU	Abbr.: SGCEU<br>\nMeaning: Second Gen Common Electronics Unit<br>\nالمعنى العربي: <br>
SGS	Abbr.: SGS<br>\nMeaning: secretary of the general staff<br>\nالمعنى العربي: سكرتير الأركان العامة<br>
SGSA	Abbr.: SGSA<br>\nMeaning: Second Gen Sight Assembly<br>\nالمعنى العربي: <br>
SGTRU	Abbr.: SGTRU<br>\nMeaning: Second Gen Thermal Receiver Unit<br>\nالمعنى العربي: <br>
SHORAD	Abbr.: SHORAD<br>\nMeaning: short range air defense<br>\nالمعنى العربي: دفاع جوي قصير المدى<br>
SICPS	Abbr.: SICPS<br>\nMeaning: standardi. Integrat. command post sys.<br>\nالمعنى العربي: نظام مركز قيادة مدمج قياسي<br>
SIGINT	Abbr.: SIGINT<br>\nMeaning: signal intelligence<br>\nالمعنى العربي: استخبارات الاشارة<br>
SINCGARS	Abbr.: SINCGARS<br>\nMeaning: single Chan.ground &amp; airb. Radio sys.<br>\nالمعنى العربي: نظام راديو ارضي وحمول جوا احادي القناة<br>
SITREP	Abbr.: SITREP<br>\nMeaning: situation report<br>\nالمعنى العربي: تقرير موقف<br>
SJA	Abbr.: SJA<br>\nMeaning: staff judge advocate<br>\nالمعنى العربي: ركن الشئون الانونية<br>
SL/V	Abbr.: SL/V<br>\nMeaning: Software Loader/Verfier<br>\nالمعنى العربي: <br>
SLAR	Abbr.: SLAR<br>\nMeaning: side looking airborne radar<br>\nالمعنى العربي: رادار رؤية جانبية محمول جوا<br>
SO	Abbr.: SO<br>\nMeaning: Special Operations<br>\nالمعنى العربي: عمليات خاصة<br>
SOC	Abbr.: SOC<br>\nMeaning: special operations command<br>\nالمعنى العربي: قيادة العمليات الخاصة<br>
SOCCE	Abbr.: SOCCE<br>\nMeaning: special oper. Com.&amp;control elements<br>\nالمعنى العربي: عناصر قيادة وسيطرة العمليات الخاصة<br>
SOF	Abbr.: SOF<br>\nMeaning: special operation forces<br>\nالمعنى العربي: قوات العمليات الخاصة<br>
SOI	Abbr.: SOI<br>\nMeaning: Signal Operating Instructions<br>\nالمعنى العربي: تعليمات تشغيل الإشارة<br>
SOI	Abbr.: SOI<br>\nMeaning: signal operations instructions<br>\nالمعنى العربي: تعليمات عمليات الاشارة<br>
SOP	Abbr.: SOP<br>\nMeaning: standing operating procedures<br>\nالمعنى العربي: التعليمات المستديمة<br>
SP	Abbr.: SP<br>\nMeaning: start point, strong point, selfpropelled<br>\nالمعنى العربي: نقطة البدء ، نقطة قوية ، ذاتي الحركة<br>
SPH	Abbr.: SPH<br>\nMeaning: Self-Propelled Howitzer<br>\nالمعنى العربي: مدفع هاوتزر ذاتي الدفع<br>
SPIRS Trailer (truck)	Abbr.: SPIRS Trailer (truck)<br>\nMeaning: <br>\nالمعنى العربي: عربة مراجعة مابعد العمل<br>
SPMO	Abbr.: SPMO<br>\nMeaning: Sword Project Management Offıce<br>\nالمعنى العربي: مكتب إدارة مشروع السيف<br>
SPORT	Abbr.: SPORT<br>\nMeaning: Soldier Portable On-system Repair Tool<br>\nالمعنى العربي: <br>
SPOTREP	Abbr.: SPOTREP<br>\nMeaning: spot report<br>\nالمعنى العربي: تقرير فوري<br>
SR	Abbr.: SR<br>\nMeaning: supply route<br>\nالمعنى العربي: طريق تموين<br>
SRU	Abbr.: SRU<br>\nMeaning: Shop Replaceable Unit<br>\nالمعنى العربي: <br>
SSS	Abbr.: SSS<br>\nMeaning: Stinger Sight System<br>\nالمعنى العربي: <br>
STANAG	Abbr.: STANAG<br>\nMeaning: standardization agreement<br>\nالمعنى العربي: اتفاق المواصفات القياسية<br>
STE	Abbr.: STE<br>\nMeaning: Simpified Test Equipment<br>\nالمعنى العربي: <br>
SVML	Abbr.: SVML<br>\nMeaning: standard vehicle missile launcher<br>\nالمعنى العربي: آلية  قاذفة صواريخ قياسية<br>
SWO	Abbr.: SWO<br>\nMeaning: staff weather officer<br>\nالمعنى العربي: ضابط اركان الطقس<br>
SYSCON	Abbr.: SYSCON<br>\nMeaning: systems control<br>\nالمعنى العربي: السيطرة على الأنظمة<br>
Sgt.	Abbr.: Sgt.<br>\nMeaning: Sergeant<br>\nالمعنى العربي: رقيب<br>
Signal Corps	Abbr.: Signal Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح الإشارة<br>
Speed Trim	Abbr.: Speed Trim<br>\nMeaning: <br>\nالمعنى العربي: رقم المحرك الثابت<br>
Squad	Abbr.: Squad<br>\nMeaning: <br>\nالمعنى العربي: حضيرة<br>
Strike	Abbr.: Strike<br>\nMeaning: <br>\nالمعنى العربي: ضربة<br>
Supply Corps	Abbr.: Supply Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح التموين<br>
Support	Abbr.: Support<br>\nMeaning: <br>\nالمعنى العربي: إسناد - يسند<br>
Sustainment	Abbr.: Sustainment<br>\nMeaning: <br>\nالمعنى العربي: تعزيز<br>
Sustainment Training	Abbr.: Sustainment Training<br>\nMeaning: <br>\nالمعنى العربي: تدريب تعزيزي<br>
T	Abbr.: T<br>\nMeaning: towed<br>\nالمعنى العربي: مجرور<br>
TA	Abbr.: TA<br>\nMeaning: theater Army<br>\nالمعنى العربي: جيش المسرح<br>
TAA	Abbr.: TAA<br>\nMeaning: tactical assembly area<br>\nالمعنى العربي: منطقة التجمع التكتيكية<br>
TAC AIR	Abbr.: TAC AIR<br>\nMeaning: tactical air<br>\nالمعنى العربي: تكتيكي جوي<br>
TAC CP	Abbr.: TAC CP<br>\nMeaning: tactical command post<br>\nالمعنى العربي: مركز القيادة التكتيكي<br>
TACCON	Abbr.: TACCON<br>\nMeaning: Tactical Control<br>\nالمعنى العربي: السيطرة التكتيكية<br>
TACON	Abbr.: TACON<br>\nMeaning: tactical control<br>\nالمعنى العربي: السيطرة التكتيكية<br>
TACP	Abbr.: TACP<br>\nMeaning: tactical air control party<br>\nالمعنى العربي: فريق السيطرة الجوية التكتيكية<br>
TACS	Abbr.: TACS<br>\nMeaning: tactical air control system<br>\nالمعنى العربي: نظام السيطرة الجوية التكتيكية<br>
TACSAT	Abbr.: TACSAT<br>\nMeaning: tactical satellite<br>\nالمعنى العربي: القمر التكتيكي<br>
TACSOP	Abbr.: TACSOP<br>\nMeaning: Tactical Standing Operating Procedures<br>\nالمعنى العربي: التعليمات المستديمة التكتيكية<br>
TAI	Abbr.: TAI<br>\nMeaning: target area of intrest<br>\nالمعنى العربي: منطقة اهداف ذات اهتمام<br>
TALO	Abbr.: TALO<br>\nMeaning: tactical airlift liaison officer<br>\nالمعنى العربي: ضابط ارتباط انقل الجوي التكتيكي<br>
TAS	Abbr.: TAS<br>\nMeaning: Target Acquisition System<br>\nالمعنى العربي: <br>
TB-3 range	Abbr.: TB-3 range<br>\nMeaning: Tiger B3<br>\nالمعنى العربي: ميدان الرماية نمر ب3 ( ميدان العويند)<br>
TCAE	Abbr.: TCAE<br>\nMeaning: technical control &amp; analysis element<br>\nالمعنى العربي: عنصر سيطرة فنية وتحليل<br>
TCB	Abbr.: TCB<br>\nMeaning: Turret Control Box<br>\nالمعنى العربي: <br>
TCF	Abbr.: TCF<br>\nMeaning: tactical combat force<br>\nالمعنى العربي: قوة قتال تكتيكية<br>
TCP	Abbr.: TCP<br>\nMeaning: Tank Commander's Panel<br>\nالمعنى العربي: <br>
TCP	Abbr.: TCP<br>\nMeaning: Tactical Command Post<br>\nالمعنى العربي: مركز قيادة تكتيكي<br>
TCP	Abbr.: TCP<br>\nMeaning: traffic control point<br>\nالمعنى العربي: نقطة سيطرة على المرور<br>
TCU	Abbr.: TCU<br>\nMeaning: Temperature Control Unit<br>\nالمعنى العربي: <br>
TDA	Abbr.: TDA<br>\nMeaning: tables distributions &amp; allowances<br>\nالمعنى العربي: جدول التوزيعات والمقننات<br>
TDB	Abbr.: TDB<br>\nMeaning: Turret Distribution Box<br>\nالمعنى العربي: <br>
TDCU	Abbr.: TDCU<br>\nMeaning: Turret Drive Control Unit<br>\nالمعنى العربي: <br>
TDM	Abbr.: TDM<br>\nMeaning: TIS Display Module<br>\nالمعنى العربي: <br>
TDT	Abbr.: TDT<br>\nMeaning: Tank Driver Trainer<br>\nالمعنى العربي: مشبه السياقة<br>
TEK	Abbr.: TEK<br>\nMeaning: transmission encryption key<br>\nالمعنى العربي: مفتاح تشفير البث<br>
TEU	Abbr.: TEU<br>\nMeaning: Turret Electronics Unit<br>\nالمعنى العربي: <br>
TF	Abbr.: TF<br>\nMeaning: Task Force<br>\nالمعنى العربي: قوة واجب<br>
TF	Abbr.: TF<br>\nMeaning: task force<br>\nالمعنى العربي: قوة واجب<br>
THREATCON	Abbr.: THREATCON<br>\nMeaning: threat condition<br>\nالمعنى العربي: حالة تهديد العدو<br>
TIRS	Abbr.: TIRS<br>\nMeaning: terrain index reference system<br>\nالمعنى العربي: نظام مرجع دليل الأرض<br>
TIS	Abbr.: TIS<br>\nMeaning: Thermal Imaging System<br>\nالمعنى العربي: <br>
TM	Abbr.: TM<br>\nMeaning: Technical Manual<br>\nالمعنى العربي: <br>
TM	Abbr.: TM<br>\nMeaning: TECHNICAL MANUAL<br>\nالمعنى العربي: كراس فني<br>
TMC	Abbr.: TMC<br>\nMeaning: Training Management Course<br>\nالمعنى العربي: دورة إدارة التدريب<br>
TML	Abbr.: TML<br>\nMeaning: TOW Missile Launcher<br>\nالمعنى العربي: <br>
TMPU	Abbr.: TMPU<br>\nMeaning: Turret Mission Processor Unit<br>\nالمعنى العربي: <br>
TMT	Abbr.: TMT<br>\nMeaning: transportation motor transport<br>\nالمعنى العربي: نقل محركات المركبات<br>
TNB	Abbr.: TNB<br>\nMeaning: Turret Networks Box<br>\nالمعنى العربي: <br>
TNBD	Abbr.: TNBD<br>\nMeaning: Turret Networks Box- Digital<br>\nالمعنى العربي: <br>
TOC	Abbr.: TOC<br>\nMeaning: tactical operation center<br>\nالمعنى العربي: مركز العمليات التكتيكي<br>
TOE	Abbr.: TOE<br>\nMeaning: tables of organizatios &amp; equipment<br>\nالمعنى العربي: جدول التنظيمات والمعدات<br>
TOR	Abbr.: TOR<br>\nMeaning: terms of reference<br>\nالمعنى العربي: شروط المرجع<br>
TOT	Abbr.: TOT<br>\nMeaning: time on target<br>\nالمعنى العربي: زمن الوصول فوق الهدف<br>
TOW	Abbr.: TOW<br>\nMeaning: Tube launched, Optically tracked, Wire guided<br>\nالمعنى العربي: <br>
TOW	Abbr.: TOW<br>\nMeaning: tube launch optically tracked wire guided<br>\nالمعنى العربي: صاروخ تو - يقذف من انبوب موجه بصريا بسلك<br>
TPB	Abbr.: TPB<br>\nMeaning: Turret Power Box<br>\nالمعنى العربي: <br>
TPL	Abbr.: TPL<br>\nMeaning: time phase line<br>\nالمعنى العربي: وقت خط المرحلة<br>
TPU	Abbr.: TPU<br>\nMeaning: Turret Power Unit<br>\nالمعنى العربي: <br>
TRADOC	Abbr.: TRADOC<br>\nMeaning: training &amp; doctrine comm. US Army<br>\nالمعنى العربي: قيادة العقيدة والتدريب للجيش الامريكي<br>
TRP	Abbr.: TRP<br>\nMeaning: target reference point<br>\nالمعنى العربي: نقطة مرجعية للهدف<br>
TRSM	Abbr.: TRSM<br>\nMeaning: Turret Remote Switching Module<br>\nالمعنى العربي: <br>
TRU	Abbr.: TRU<br>\nMeaning: Thermal Receiver Unit<br>\nالمعنى العربي: <br>
TSCP	Abbr.: TSCP<br>\nMeaning: Targeting Station Control Panel<br>\nالمعنى العربي: <br>
TSM	Abbr.: TSM<br>\nMeaning: TIS Signal Module<br>\nالمعنى العربي: <br>
TSOP	Abbr.: TSOP<br>\nMeaning: tactical standing operating procedure<br>\nالمعنى العربي: التعليمات المستديمة تكتيك<br>
TTC	Abbr.: TTC<br>\nMeaning: Tactical Training Center<br>\nالمعنى العربي: مركز التدريب التكتيكي<br>
TTS	Abbr.: TTS<br>\nMeaning: <br>\nالمعنى العربي: الكاميرا الحرارية<br>
TVA	Abbr.: TVA<br>\nMeaning: target value analysis<br>\nالمعنى العربي: تحليل قيمة الهدف<br>
TVM	Abbr.: TVM<br>\nMeaning: TOW Visual Module<br>\nالمعنى العربي: <br>
TWB	Abbr.: TWB<br>\nMeaning: TOW Control Box<br>\nالمعنى العربي: <br>
TWGSS	Abbr.: TWGSS<br>\nMeaning: Tank Weapons Gunnery Simulation System<br>\nالمعنى العربي: مشبه التويقز<br>
Techniques	Abbr.: Techniques<br>\nMeaning: <br>\nالمعنى العربي: أساليب<br>
UAV	Abbr.: UAV<br>\nMeaning: Unmanned Arial Vehicle<br>\nالمعنى العربي: طائرة بدون طيار<br>
UAV	Abbr.: UAV<br>\nMeaning: unmanned aerial vehicle<br>\nالمعنى العربي: طائرة بدون طيار<br>
UBL	Abbr.: UBL<br>\nMeaning: unit basic load<br>\nالمعنى العربي: الحمولة الأساسية للوحدة<br>
UCMJ	Abbr.: UCMJ<br>\nMeaning: uniform code of military justice<br>\nالمعنى العربي: قانون القضاء العسكري<br>
UGS	Abbr.: UGS<br>\nMeaning: Unattended Ground Sensor<br>\nالمعنى العربي: <br>
UHF	Abbr.: UHF<br>\nMeaning: ultra high frequency<br>\nالمعنى العربي: تردد عالي جدا<br>
UMR	Abbr.: UMR<br>\nMeaning: unit manning report<br>\nالمعنى العربي: تقرير افراد قوة الوحدة<br>
UN	Abbr.: UN<br>\nMeaning: united nations<br>\nالمعنى العربي: الامم المتحدة<br>
US	Abbr.: US<br>\nMeaning: united states<br>\nالمعنى العربي: الولايات المتحدة<br>
USAF	Abbr.: USAF<br>\nMeaning: united states airforce<br>\nالمعنى العربي: القوات الجوية الأمريكية<br>
USG	Abbr.: USG<br>\nMeaning: united states government<br>\nالمعنى العربي: الحكومة الأمريكية<br>
USMC	Abbr.: USMC<br>\nMeaning: united states marine corps<br>\nالمعنى العربي: سلاح البحرية الأمريكي<br>
USMTM	Abbr.: USMTM<br>\nMeaning: US Military Training Mission<br>\nالمعنى العربي: بعثة التدريب العسكرية للجيش الأمريكي<br>
USPS	Abbr.: USPS<br>\nMeaning: united states post service<br>\nالمعنى العربي: خدمة بريد الولايات المتحدة<br>
UTCP	Abbr.: UTCP<br>\nMeaning: Upgraded Tank Commander's Panel<br>\nالمعنى العربي: <br>
UTM	Abbr.: UTM<br>\nMeaning: universal transverse mercator<br>\nالمعنى العربي: اسقاط  ميركاتور العرضي العالمي<br>
UUT	Abbr.: UUT<br>\nMeaning: Unit Under Test<br>\nالمعنى العربي: <br>
V Corps	Abbr.: V Corps<br>\nMeaning: Fifth Corps<br>\nالمعنى العربي: الفيلق الخامس<br>
V/S	Abbr.: V/S<br>\nMeaning: vulcan/ stinger<br>\nالمعنى العربي: صاروخ فولكان/ ستينجر<br>
VADS	Abbr.: VADS<br>\nMeaning: Vehicle Automated Diagnostic System<br>\nالمعنى العربي: <br>
VDB	Abbr.: VDB<br>\nMeaning: Vehicle Distribution Box<br>\nالمعنى العربي: <br>
VDMS	Abbr.: VDMS<br>\nMeaning: Vehicle Diagnostics Management System<br>\nالمعنى العربي: <br>
VFR	Abbr.: VFR<br>\nMeaning: visual flight rules<br>\nالمعنى العربي: قواعد الطيران المرئي<br>
VHF	Abbr.: VHF<br>\nMeaning: very high frequency<br>\nالمعنى العربي: تردد عالي جدا<br>
VIGS	Abbr.: VIGS<br>\nMeaning: <br>\nالمعنى العربي: مشبه الفقز<br>
VIP	Abbr.: VIP<br>\nMeaning: very important person<br>\nالمعنى العربي: شخص هام جدا<br>
VSM	Abbr.: VSM<br>\nMeaning: Video Signal Module<br>\nالمعنى العربي: <br>
W	Abbr.: W<br>\nMeaning: wheeled<br>\nالمعنى العربي: مدولب<br>
WARNO	Abbr.: WARNO<br>\nMeaning: Warning Order<br>\nالمعنى العربي: أمر إنذاري<br>
WCB	Abbr.: WCB<br>\nMeaning: Weapon Control Box<br>\nالمعنى العربي: <br>
WCS	Abbr.: WCS<br>\nMeaning: weapons control status<br>\nالمعنى العربي: حالة السيطرة على الأسلحة<br>
WETM	Abbr.: WETM<br>\nMeaning: weather team<br>\nالمعنى العربي: فريق حالة الطقس<br>
WFZ	Abbr.: WFZ<br>\nMeaning: weapons free zone<br>\nالمعنى العربي: منطقة اسلحة حرة<br>
WIA	Abbr.: WIA<br>\nMeaning: wounded in action<br>\nالمعنى العربي: مصاب حرب<br>
WO	Abbr.: WO<br>\nMeaning: warning order<br>\nالمعنى العربي: امر انذاري<br>
WP	Abbr.: WP<br>\nMeaning: white phosphorous<br>\nالمعنى العربي: الفوسفور الابيض<br>
WX	Abbr.: WX<br>\nMeaning: weather<br>\nالمعنى العربي: الطقس<br>
WXFCST	Abbr.: WXFCST<br>\nMeaning: weather forecast<br>\nالمعنى العربي: التنبؤ بالطقس<br>
XO	Abbr.: XO<br>\nMeaning: executive officer<br>\nالمعنى العربي: الضابط التنفيذي<br>
abn	Abbr.: abn<br>\nMeaning: airborne<br>\nالمعنى العربي: محمول جوا<br>
armd	Abbr.: armd<br>\nMeaning: armored<br>\nالمعنى العربي: مدرع<br>
arty	Abbr.: arty<br>\nMeaning: artillery<br>\nالمعنى العربي: مدفعية<br>
aslt	Abbr.: aslt<br>\nMeaning: assault<br>\nالمعنى العربي: اقتحام<br>
atchd	Abbr.: atchd<br>\nMeaning: attached<br>\nالمعنى العربي: ملحق<br>
atk	Abbr.: atk<br>\nMeaning: attack<br>\nالمعنى العربي: هجوم<br>
auth	Abbr.: auth<br>\nMeaning: authorized <br>\nالمعنى العربي: مسموح<br>
avn	Abbr.: avn<br>\nMeaning: aviation<br>\nالمعنى العربي: طيران<br>
bn	Abbr.: bn<br>\nMeaning: batallion<br>\nالمعنى العربي: كتيبة<br>
btry	Abbr.: btry<br>\nMeaning: battery<br>\nالمعنى العربي: بطارية<br>
cal	Abbr.: cal<br>\nMeaning: caliber<br>\nالمعنى العربي: عيار<br>
cav	Abbr.: cav<br>\nMeaning: cavalry<br>\nالمعنى العربي: استطلاع مدرع<br>
cbt	Abbr.: cbt<br>\nMeaning: combat<br>\nالمعنى العربي: قتال<br>
cgo	Abbr.: cgo<br>\nMeaning: cargo<br>\nالمعنى العربي: شحنة<br>
chem	Abbr.: chem<br>\nMeaning: chemical<br>\nالمعنى العربي: كيماوي<br>
decon	Abbr.: decon<br>\nMeaning: decontamination<br>\nالمعنى العربي: ازالة التلوث<br>
demo	Abbr.: demo<br>\nMeaning: demonstration<br>\nالمعنى العربي: بيان<br>
det	Abbr.: det<br>\nMeaning: detachement<br>\nالمعنى العربي: مفرزة<br>
div	Abbr.: div<br>\nMeaning: division<br>\nالمعنى العربي: فرقة<br>
elec	Abbr.: elec<br>\nMeaning: electric, electrical<br>\nالمعنى العربي: كهربي، كهربيا<br>
en	Abbr.: en<br>\nMeaning: enemy<br>\nالمعنى العربي: عدو<br>
engr	Abbr.: engr<br>\nMeaning: engineer<br>\nالمعنى العربي: مهندس<br>
exec	Abbr.: exec<br>\nMeaning: executive<br>\nالمعنى العربي: تنفيذي<br>
fax	Abbr.: fax<br>\nMeaning: facsimile<br>\nالمعنى العربي: فاكس<br>
ft	Abbr.: ft<br>\nMeaning: foot, feet<br>\nالمعنى العربي: قدم، اقدام<br>
gal	Abbr.: gal<br>\nMeaning: gallon<br>\nالمعنى العربي: جالون<br>
gp	Abbr.: gp<br>\nMeaning: group<br>\nالمعنى العربي: مجموعة<br>
hel	Abbr.: hel<br>\nMeaning: helicopter<br>\nالمعنى العربي: مروحية<br>
hp	Abbr.: hp<br>\nMeaning: horse power<br>\nالمعنى العربي: القدرة بالحصان<br>
hr	Abbr.: hr<br>\nMeaning: hour<br>\nالمعنى العربي: ساعة<br>
inf	Abbr.: inf<br>\nMeaning: infantry<br>\nالمعنى العربي: مشاة<br>
intel	Abbr.: intel<br>\nMeaning: intelligence<br>\nالمعنى العربي: استخبارات<br>
kHz	Abbr.: kHz<br>\nMeaning: kilohertz<br>\nالمعنى العربي: كيلو هيرتز<br>
km	Abbr.: km<br>\nMeaning: kilometer<br>\nالمعنى العربي: كيلومتر<br>
kmph	Abbr.: kmph<br>\nMeaning: kilometer per hour<br>\nالمعنى العربي: كيلومتر في الساعة<br>
kt	Abbr.: kt<br>\nMeaning: kiloton<br>\nالمعنى العربي: كيلوطن<br>
lb	Abbr.: lb<br>\nMeaning: pound<br>\nالمعنى العربي: رطل<br>
loc	Abbr.: loc<br>\nMeaning: location<br>\nالمعنى العربي: موقع<br>
lt	Abbr.: lt<br>\nMeaning: light<br>\nالمعنى العربي: خفيف<br>
m	Abbr.: m<br>\nMeaning: meter<br>\nالمعنى العربي: متر<br>
maint	Abbr.: maint<br>\nMeaning: maintenance<br>\nالمعنى العربي: صيانة<br>
med	Abbr.: med<br>\nMeaning: medical, medium<br>\nالمعنى العربي: طبي/ متوسط<br>
mm	Abbr.: mm<br>\nMeaning: millimeter<br>\nالمعنى العربي: ملليمتر<br>
mph	Abbr.: mph<br>\nMeaning: miles per hour<br>\nالمعنى العربي: ميل في الساعة<br>
no	Abbr.: no<br>\nMeaning: number<br>\nالمعنى العربي: رقم<br>
obj	Abbr.: obj<br>\nMeaning: objective<br>\nالمعنى العربي: هدف<br>
opns	Abbr.: opns<br>\nMeaning: operations<br>\nالمعنى العربي: العمليات<br>
ops	Abbr.: ops<br>\nMeaning: operations<br>\nالمعنى العربي: العمليات<br>
pit	Abbr.: pit<br>\nMeaning: platoon<br>\nالمعنى العربي: فصيل<br>
ppm	Abbr.: ppm<br>\nMeaning: parts per million<br>\nالمعنى العربي: جزء في المليون<br>
proj	Abbr.: proj<br>\nMeaning: project<br>\nالمعنى العربي: مشروع<br>
rd	Abbr.: rd<br>\nMeaning: round<br>\nالمعنى العربي: طلقة<br>
rec	Abbr.: rec<br>\nMeaning: recorder<br>\nالمعنى العربي: مسجل<br>
recon	Abbr.: recon<br>\nMeaning: radio electronic combat (soviet)<br>\nالمعنى العربي: راديو الكتروني للقتال (سوفيتي)<br>
retrans	Abbr.: retrans<br>\nMeaning: retransmission<br>\nالمعنى العربي: اعادة بث<br>
sec	Abbr.: sec<br>\nMeaning: section<br>\nالمعنى العربي: قسم<br>
semitrl	Abbr.: semitrl<br>\nMeaning: semitrailer<br>\nالمعنى العربي: نصف مقطورة<br>
sig	Abbr.: sig<br>\nMeaning: signal<br>\nالمعنى العربي: اشارة<br>
smk	Abbr.: smk<br>\nMeaning: smoke<br>\nالمعنى العربي: دخان<br>
sqd	Abbr.: sqd<br>\nMeaning: squad<br>\nالمعنى العربي: حضيرة<br>
sqdn	Abbr.: sqdn<br>\nMeaning: squadron<br>\nالمعنى العربي: كتيبة (سرب طيران)<br>
tac	Abbr.: tac<br>\nMeaning: tactical<br>\nالمعنى العربي: تكتيكي<br>
tac fire	Abbr.: tac fire<br>\nMeaning: tactical fire direction system<br>\nالمعنى العربي: نظام توجيه النيران التكتيكية<br>
tm	Abbr.: tm<br>\nMeaning: team<br>\nالمعنى العربي: فريق<br>
topo	Abbr.: topo<br>\nMeaning: topography, topographic<br>\nالمعنى العربي: طبوغرافيا، طبوغرافي<br>
