##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in \ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>. \n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p> \n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
PRDO	personnel recovery duty officer <br>
PRECOM	preliminary communications search <br>
PREMOB	pre-mobilization   <br>
PREPO	pre-positioned force, equipment, or supplies; pre-positioning <br>
PREREP	pre-arrival report  <br>
PRF	personnel resources file; pulse repetition frequency <br>
PRG	program review group <br>
PRI	movement priority for forces having the same latest arrival date (LAD); priority; progressive routing indicator     <br>
PRIFLY	primary flight control <br>
PRISM	Planning Tool for Resource, Integration, Synchronization, and Management  <br>
PRM	Presidential review memorandum <br>
PRMFL	perm file  <br>
PRMS	personnel recovery mission software <br>
PRN	pseudorandom noise  <br>
PRO	personnel recovery officer <br>
PROBSUB	probable submarine  <br>
PROC	processor; Puerto Rican Operations Center  <br>
PROFIS	professional officer filler information system  <br>
PROM	programmable read-only memory <br>
PROPIN	caution - proprietary information involved  <br>
PROVORG	providing organization  <br>
PRP	personnel reliability program <br>
PRRIS	Puerto Rican radar integration system  <br>
PRSL	primary zone/switch location <br>
PRT	pararescue team; patient reception team  <br>
PRTF	personnel recovery task force <br>
PRU	pararescue unit; primary reporting unit  <br>
PS	parallel track single-unit; processing subsystem  <br>
PS/HD	port security/harbor defense <br>
PSA	port support activity <br>
PSB	poststrike base  <br>
PSC	port security company; principal subordinate command <br>
PSD	planning systems division <br>
PSE	peculiar support equipment; psychological operations support element   <br>
PSHDGRU	port security and harbor defense group <br>
PSI	personnel security investigation; Proliferation Security Initiative <br>
PSK	phase shift keying <br>
PSL	parallel track single-unit long-range aid to navigation (LORAN)  <br>
PSMS	Personnel Status Monitoring System <br>
PSN	packet switching node; public switch network <br>
PSO	peace support operations (NATO); post security officer   <br>
PSP	perforated steel planking; portable sensor platform; power support platform <br>
PSPS	psychological operations (PSYOP) studies program subsystem <br>
PSS	parallel single-unit spiral <br>
PSTN	public switched telephone network <br>
PSU	port security unit <br>
PSV	pseudosynthetic video  <br>
PSYOP	psychological operations  <br>
PTA	position, time, altitude <br>
PTAI	primary training aircraft inventory <br>
PTC	peace through confrontation; primary traffic channel <br>
PTDO	prepare to deploy order <br>
PTT	postal telephone and telegraph; public telephone and telegraph; push-to-talk <br>
PTTI	precise time and time interval  <br>
PUK	packup kit  <br>
PUL	parent unit level <br>
PV	prime vendor  <br>
PVNTMED	preventive medicine  <br>
PVT	positioning, velocity, and timing <br>
PW	prisoner of war <br>
PWB	printed wiring board (assembly) <br>
PWD	programmed warhead detonation <br>
PWF	personnel working file <br>
PWIS	Prisoner of War Information System  <br>
PWR	pre-positioned wartime reserves <br>
PWRMR	pre-positioned war materiel requirement <br>
PWRMS	pre-positioned war reserve materiel stock  <br>
PWRR	petroleum war reserve requirements <br>
PWRS	petroleum war reserve stocks; pre-positioned war reserve stock  <br>
PZ	pickup zone  <br>
PaM	passage material  <br>
Pc	cumulative probability of detection <br>
Pd	drift compensated parallelogram pattern <br>
Pplan	programming plan  <br>
Prime	BEEF Prime Base Engineer Emergency Force <br>
Q-ship	decoy ship  <br>
QA	quality assurance  <br>
QAM	quadrature amplitude modulation <br>
QAT	quality assurance team <br>
QC	quality control  <br>
QD	quality distance  <br>
QDR	quality deficiency report <br>
QEEM	quick erect expandable mast <br>
QHDA	qualified hazardous duty area <br>
QM	quartermaster   <br>
QPSK	quadrature phase shift keying <br>
QRA	quick reaction antenna <br>
QRCT	quick reaction communications terminal <br>
QRE	quick reaction element <br>
QRF	quick response force <br>
QRG	quick response graphic <br>
QRP	quick response posture <br>
QRS	quick reaction strike <br>
QRSA	quick reaction satellite antenna <br>
QRT	quick reaction team <br>
QS	quality surveillance  <br>
QSR	quality surveillance representative <br>
QSTAG	quadripartite standardization agreement <br>
QTY	quantity   <br>
QUADCON	quadruple container  <br>
R	routine; search radius <br>
R&D	research and development <br>
R&R	rest and recuperation <br>
R&S	reconnaissance and surveillance <br>
R-AFF	regimental affiliation  <br>
R-day	redeployment day  <br>
R/O	receive only  <br>
R/T	receiver/transmitter   <br>
R2P2	rapid response planning process <br>
RA	response action; risk analysis; risk assessment <br>
RAA	redeployment assembly area <br>
RABFAC	radar beacon forward air controller  <br>
RAC	responsible analytic center <br>
RAC-OT	readiness assessment system - output tool <br>
RADAREXREP	radar exploitation report <br>
RADAY	radio day  <br>
RADBN	radio battalion  <br>
RADC	regional air defense commander <br>
RADCON	radiological control team <br>
RADF	radarfind   <br>
RADHAZ	electromagnetic radiation hazards <br>
RADINT	radar intelligence  <br>
RADS	rapid area distribution support (USAF)  <br>
RAE	right of assistance entry <br>
RAF	Royal Air Force (UK) <br>
RAM	raised angle marker; random access memory; random antiterrorism measure <br>
RAMCC	regional air movement coordination center  <br>
RAOB	rawindsonde observation  <br>
RAOC	rear area operations center; regional air operations center  <br>
RAP	Radiological Assistance Program (DOE); rear area protection; Remedial Action Projects Program (JCS) <br>
RAS	recovery activation signal; refueling at sea <br>
RAST	recovery assistance, securing, and traversing systems <br>
RASU	random access storage unit <br>
RATT	radio teletype  <br>
RB	radar beacon; short-range coastal or river boat   <br>
RB	std rubidium standard <br>
RBC	red blood cell <br>
RBE	remain-behind equipment  <br>
RBECS	Revised Battlefield Electronic Communications, Electronics, Intelligence, and Operations (CEIO) System <br>
RBI	RED/BLACK isolator  <br>
RC	NORTH Regional Command North (NATO)  <br>
RC	receive clock; regional coordinator; Reserve Component; river current  <br>
RC	SOUTH Regional Command South (NATO)  <br>
RCA	residual capabilities assessment; riot control agent <br>
RCAT	regional counterdrug analysis team <br>
RCC	relocation coordination center <br>
RCCPDS	Reserve Component common personnel data system <br>
RCEM	regional contingency engineering management <br>
RCHB	reserve cargo handling battalion <br>
RCIED	radio-controlled improvised explosive device <br>
RCM	Rules for Courts-Martial <br>
RCMP	Royal Canadian Mounted Police <br>
RCO	regional coordinating office (DOE) <br>
RCP	resynchronization control panel <br>
RCS	radar cross section <br>
RCSP	remote call service position <br>
RCT	regimental combat team; rescue coordination team (Navy)   <br>
RCTA	Regional Counterdrug Training Academy <br>
RCU	rate changes unit; remote control unit <br>
RCVR	receiver   <br>
RD	receive data; ringdown <br>
RDA	research, development, and acquisition <br>
RDCFP	Regional Defense Counterterrorism Fellowship Program  <br>
RDD	radiological dispersal device; required delivery date <br>
RDECOM	US Army Research, Development, and Engineering Command   <br>
RDF	radio direction finder; rapid deployment force <br>
RDO	request for deployment order <br>
RDT&E	research, development, test and evaluation  <br>
REAC/TS	radiation emergency assistance center/training site (DOE) <br>
REACT	rapid execution and combat targeting  <br>
READY	resource augmentation duty program <br>
RECA	Residual Capability Assessment <br>
RECAS	residual capability assessment system <br>
RECAT	residual capability assessment team <br>
RECCE	reconnaissance   <br>
RECCEXREP	reconnaissance exploitation report <br>
RECMOB	reconstitution-mobilization   <br>
RECON	reconnaissance   <br>
RED	HORSE Rapid Engineers Deployable Heavy Operations Repair Squadron, Engineers <br>
REF	reference(s)   <br>
REGT	regiment   <br>
REL	relative   <br>
RELCAN	releasable to Canada <br>
REM	roentgen equivalent mammal <br>
REMT	regional emergency management team <br>
REMUS	remote environmental monitoring unit system  <br>
REPOL	bulk petroleum contingency report; petroleum damage and deficiency report; reporting emergency petroleum, oils, and lubricants     <br>
REPSHIP	report of shipment <br>
REPUNIT	reporting unit  <br>
REQCONF	request confirmation  <br>
REQSTATASK	air mission request status tasking  <br>
RESA	research, evaluation, and system analysis  <br>
RESCAP	rescue combat air patrol <br>
RESCORT	rescue escort  <br>
RESPROD	responsible production  <br>
RET	retired   <br>
RF	CM radio frequency countermeasures <br>
RF	radio frequency; reserve force; response force <br>
RF/EMPINT	radio frequency/electromagnetic pulse intelligence <br>
RFA	radio frequency authorization; request for assistance; restrictive fire area <br>
RFC	response force commander <br>
RFD	revision first draft <br>
RFF	request for feedback; request for forces <br>
RFI	radio frequency interference; ready for issue; request for information <br>
RFID	radio frequency identification <br>
RFL	restrictive fire line <br>
RFP	request for proposal <br>
RFS	request for service <br>
RFW	request for waiver <br>
RG	reconstitution group  <br>
RGR	Rangers   <br>
RGS	remote geospatial intelligence services <br>
RH	reentry home  <br>
RHIB	rigid hull inflatable boat <br>
RI	radiation intensity; Refugees International; routing indicator <br>
RIB	rubberized inflatable boat <br>
RIC	routing indicator code <br>
RICO	regional interface control officer <br>
RIG	recognition identification group <br>
RIK	replacement in kind <br>
RIMS	registrant information management system <br>
RINT	unintentional radiation intelligence <br>
RIP	register of intelligence publications <br>
RIS	reconnaissance information system <br>
RISOP	red integrated strategic offensive plan  <br>
RISTA	reconnaissance, intelligence, surveillance, and target acquisition <br>
RIT	remote imagery transceiver <br>
RJTD	reconstitution joint table of distribution  <br>
RLD	ready-to-load date  <br>
RLE	rail liaison element <br>
RLG	regional liaison group; ring laser gyro <br>
RLGM	remote loop group multiplexer <br>
RLGM/CD	remote loop group multiplexer/cable driver  <br>
RLP	remote line printer <br>
RM	recovery mechanism; resource management; risk management <br>
RMC	remote multiplexer combiner; rescue mission commander; <br>
RMKS	remarks   <br>
RMO	regional Marine officer <br>
RMP	religious ministry professional <br>
RMS	requirements management system; root-mean-square <br>
RMU	receiver matrix unit <br>
RNAV	area navigation  <br>
RNP	remote network processor <br>
RO/RO	roll-on/roll-off   <br>
ROA	restricted operations area <br>
ROC	regional operations center; required operational capability <br>
ROCU	remote orderwire control unit <br>
ROE	rules of engagement <br>
ROEX	rules of engagement exercise <br>
ROG	railhead operations group <br>
ROICC	resident officer in charge of construction <br>
ROK	Republic of Korea <br>
ROM	read-only memory; rough order of magnitude <br>
RON	remain overnight  <br>
ROS	reduced operating status <br>
ROTC	Reserve Officer Training Corps <br>
ROTHR	relocatable over-the-horizon backscatter radar (USN)  <br>
ROWPU	reverse osmosis water purification unit  <br>
ROZ	restricted operations zone <br>
RP	reconstitution priority; release point (road); retained personnel   <br>
RPPO	Requirements, Plans, and Policy Office  <br>
RPT	report   <br>
RPTOR	reporting organization  <br>
RPV	remotely piloted vehicle <br>
RQMT	requirement   <br>
RQT	rapid query tool <br>
RR	reattack recommendation  <br>
RRC	regional reporting center <br>
RRCC	regional response coordination center <br>
RRDF	roll-on/roll-off (RO/RO) discharge facility <br>
RRF	rapid reaction force; rapid response force; Ready Reserve Fleet; Ready Reserve Force <br>
RRPP	rapid response planning process <br>
RS	rate synthesizer; religious support; requirement submission <br>
RSA	retrograde storage area <br>
RSC	red station clock; regional service center; rescue sub-center  <br>
RSD	reporting of supply discrepancy <br>
RSE	retrograde support element <br>
RSG	reference signal generator <br>
RSI	rationalization, standardization, and interoperability <br>
RSL	received signal level <br>
RSN	role specialist nation <br>
RSO	regional security officer <br>
RSOC	regional signals intelligence (SIGINT) operations center <br>
RSOI	reception, staging, onward movement, and integration <br>
RSP	recognized surface picture; Red Switch Project (DOD); religious support plan; religious support policy       <br>
RSPA	Research and Special Programs Administration  <br>
RSS	radio subsystem; remote sensors subsystem; root-sum-squared <br>
RSSC	regional satellite communications (SATCOM) support center; regional satellite support cell; regional signals intelligence (SIGINT) support center (NSA); regional space support<br>
RSSC-LO	regional space support center liaison officer <br>
RST	religious support team <br>
RSTA	reconnaissance, surveillance, and target acquisition  <br>
RSTV	real-time synthetic video <br>
RSU	rapid support unit; rear support unit; remote switching unit <br>
RT	recovery team; remote terminal; rough terrain <br>
RTA	residual threat assessment <br>
RTB	return to base <br>
RTCC	rough terrain container crane <br>
RTCH	rough terrain container handler <br>
RTD	returned to duty <br>
RTF	regional task force; return to force <br>
RTFL	rough terrain forklift <br>
RTG	radar target graphic <br>
RTL	restricted target list <br>
RTLP	receiver test level point <br>
RTM	real-time mode  <br>
RTOC	rear tactical operations center <br>
RTS	remote transfer switch <br>
RTTY	radio teletype  <br>
RU	release unit; rescue unit <br>
RUF	rules for the use of force <br>
RUIC	Reserve unit identification number <br>
RUSCOM	rapid ultrahigh frequency (UHF) satellite communications <br>
RV	long-range seagoing rescue vessel; reentry vehicle; rekeying variable; rendezvous <br>
RVR	runway visibility recorder <br>
RVT	remote video terminal <br>
RWCM	regional wartime construction manager <br>
RWI	radio and wire integration <br>
RWR	radar warning receiver <br>
RWS	rawinsonde subsystem  <br>
RX	receive; receiver  <br>
RZ	recovery zone; return-to-zero <br>
Resource	Management Committee (CSIF); returned to military control   <br>
Rh	Rhesus factor  <br>
Ro	search radius rounded to next highest whole number  <br>
S&F	store-and-forward   <br>
S&M	scheduling and movement <br>
S&R	search and recovery <br>
S&T	science and technology; scientific and technical <br>
S&TI	scientific and technical intelligence <br>
S-2	battalion or brigade intelligence staff officer (Army; Marine Corps battalion or regiment) <br>
S-3	battalion or brigade operations staff officer (Army; Marine Corps battalion or regiment) <br>
S-4	battalion or brigade logistics staff officer (Army; Marine Corps battalion or regiment) <br>
S-day	day the President authorizes selective reserve call-up   <br>
S/EWCC	signals intelligence/electronic warfare coordination center  <br>
S/EWOC	signals intelligence/electronic warfare operations center  <br>
S/N	signal to noise <br>
S/RTF	search and recovery task force  <br>
S/S	steamship   <br>
S/T	short ton  <br>
S/V	sailboat   <br>
SA	security assistance; selective availability (GPS); senior adviser; situational awareness; staging area; stand-alone switch       <br>
SAA	senior airfield authority <br>
SAAF	small austere airfield <br>
SAAFR	standard use Army aircraft flight route <br>
SAAM	special assignment airlift mission <br>
SAB	scientific advisory board (USAF) <br>
SABER	situational awareness beacon with reply  <br>
SAC	special actions cell; special agent in charge; supporting arms coordinator <br>
SACC	supporting arms coordination center <br>
SACEUR	Supreme Allied Commander, Europe (NATO)  <br>
SACLANT	Supreme Allied Command, Atlantic <br>
SACS	secure telephone unit (STU) access control system   <br>
SACT	Supreme Allied Commander Transformation <br>
SADC	sector air defense commander <br>
SADL	situation awareness data link <br>
SAF	Secretary of the Air Force  <br>
SAFE	secure analyst file environment; selected area for evasion  <br>
SAFE-CP	selected area for evasion-contact point  <br>
SAFER	evasion and recovery selected area for evasion (SAFE) area activation request <br>
SAFWIN	secure Air Force weather information network <br>
SAG	surface action group <br>
SAI	sea-to-air interface; single agency item  <br>
SAL	small arms locker <br>
SAL-GP	semiactive laser-guided projectile (USN) <br>
SALM	single-anchor leg mooring <br>
SALT	supporting arms liaison team <br>
SALTS	streamlined automated logistics transfer system; streamlined automated logistics transmission system <br>
SALUTE	size, activity, location, unit, time, and equipment   <br>
SAM	space available mail; special airlift mission; surface-to-air missile  <br>
SAMM	security assistance management manual <br>
SAMS	School of Advanced Military Studies  <br>
SAO	security assistance office/officer; security assistance organization; selected attack option <br>
SAOC	sector air operations center <br>
SAP	special access program <br>
SAPI	special access program for intelligence  <br>
SAPO	subarea petroleum office <br>
SAPR	sexual assault prevention and response  <br>
SAR	satellite access request; search and rescue; special access requirement; suspicious activity report; synthetic aperture radar     <br>
SARC	sexual assault response coordinator; surveillance and reconnaissance center  <br>
SARDOT	search and rescue point <br>
SARIR	search and rescue incident report  <br>
SARMIS	search and rescue management information system <br>
SARNEG	search and rescue numerical encryption group <br>
SARREQ	search and rescue request <br>
SARSAT	search and rescue satellite-aided tracking  <br>
SARSIT	search and rescue situation summary report <br>
SARTEL	search and rescue (SAR) telephone (private hotline)   <br>
SARTF	search and rescue task force  <br>
SAS	sealed authenticator system; special ammunition storage <br>
SASP	special ammunition supply point <br>
SASS	supporting arms special staff <br>
SASSY	supported activities supply systems <br>
SAT	satellite; security alert team <br>
SATCOM	satellite communications  <br>
SAU	search attack unit <br>
SAW	surface acoustic wave <br>
SB	standby base  <br>
SBCT	Stryker brigade combat team <br>
SBIRS	space-based infrared system <br>
SBL	space-based laser  <br>
SBPO	Service blood program officer <br>
SBR	special boat squadron <br>
SBRPT	subordinate reporting organization <br>
SBS	senior battle staff; support battle staff <br>
SBSO	sustainment brigade special operations <br>
SBSS	science-based stockpile stewardship <br>
SBT	special boat team <br>
SBU	special boat unit <br>
SC	ATLANTIC Strategic Command, Atlantic (NATO)  <br>
SC	EUROPE Strategic Command, Europe (NATO)  <br>
SC	sea current; search and rescue coordinator; station clock; strategic communication <br>
SCA	space coordinating authority <br>
SCAR	strike coordination and reconnaissance <br>
SCAS	stability control augment system <br>
SCATANA	security control of air traffic and navigation aids  <br>
SCATMINE	scatterable mine  <br>
SCATMINEWARN	scatterable minefield warning <br>
SCC	security classification code; Space Control Center (USSPACECOM); shipping coordination center; Standards Coordinating Committee       <br>
SCDL	surveillance control data link <br>
SCE	Service cryptologic element <br>
SCF(UK)	Save the Children Fund (United Kingdom) <br>
SCF(US)	Save the Children Federation (United States) <br>
SCG	Security Cooperation Guidance; switching controller group <br>
SCI	sensitive compartmented information <br>
SCIF	sensitive compartmented information facility <br>
SCL	standard conventional load <br>
SCM	security countermeasure  <br>
SCMP	strategic command, control, and communications (C3) master plan  <br>
SCNE	self-contained navigation equipment <br>
SCO	senior contracting official; state coordinating officer <br>
SCOC	systems control and operations concept  <br>
SCONUM	ship control number <br>
SCP	secure conferencing project; security cooperation plan; system change proposal <br>
SCPT	strategic connectivity performance test <br>
SCRB	software configuration review board <br>
SCT	shipping coordination team; single channel transponder <br>
SCT-UR	single channel transponder ultrahigh frequency (UHF) receiver   <br>
SCTIS	single channel transponder injection system  <br>
SCTS	single channel transponder system <br>
SCUD	surface-to-surface missile system <br>
SDA	Seventh-Day Adventist (ADRA) <br>
SDB	Satellite Communications Database <br>
SDDC	Surface Deployment and Distribution Command  <br>
SDDCTEA	Surface Deployment and Distribution Command Transportation Engineering Agency  <br>
SDF	self defense force <br>
SDIO	Strategic Defense Initiative Organization <br>
SDLS	satellite data link standards <br>
SDMX	space division matrix <br>
SDN	system development notification <br>
SDNRIU	secure digital net radio interface unit <br>
SDO	ship’s debarkation officer <br>
SDP	strategic distribution platform <br>
SDR	system design review <br>
SDSG	space division switching group <br>
SDSM	space division switching matrix <br>
SDV	sea-air-land team (SEAL) delivery vehicle; submerged delivery vehicle  <br>
SEA	Southeast Asia  <br>
SEABEE	Navy construction engineer; sea barge  <br>
SEAD	suppression of enemy air defenses  <br>
SEAL	sea-air-land team  <br>
SEAVAN	military container moved via ocean  <br>
SEC	submarine element coordinator <br>
SECAF	Secretary of the Air Force  <br>
SECARMY	Secretary of the Army <br>
SECDHS	Secretary of the Department of Homeland Security   <br>
SECNAV	Secretary of the Navy <br>
SECNAVINST	Secretary of the Navy instruction  <br>
SECOMP	secure en route communications package  <br>
SECORD	secure cord switchboard <br>
SECRA	secondary radar data only <br>
SECSTATE	Secretary of State <br>
SECTRANS	Secretary of Transportation <br>
SED	signals external data <br>
SEDAS	spurious emission detection acquisition system  <br>
SEF	sealift enhancement feature <br>
SEHS	special events for homeland security  <br>
SEI	specific emitter identification <br>
SEL	REL selective release <br>
SELRES	Selected Reserve  <br>
SEMA	special electronic mission aircraft <br>
SEMS	standard embarkation management system <br>
SEO/SEP	special enforcement operation/special enforcement program  <br>
SEP	signal entrance panel; spherical error probable <br>
SEPLO	state emergency preparedness liaison officer  <br>
SERE	survival, evasion, resistance, and escape  <br>
SERER	survival, evasion, resistance, escape, recovery  <br>
SES	senior executive service <br>
SETA	system engineering and technical assistance  <br>
SEW	shared early warning <br>
SEWG	Special Events Working Group <br>
SEWS	satellite early warning system <br>
SF	security force; security forces (Air Force or Navy); single frequency; special forces; Standard Form      <br>
SFAF	standard frequency action format <br>
SFCP	shore fire control party <br>
SFG	security forces group; special forces group <br>
SFI	spectral composition  <br>
SFLEO	senior federal law enforcement official  <br>
SFMS	special forces medical sergeant <br>
SFOB	special forces operations base <br>
SFOD-A/B/C	special forces operational detachment-A/B/C <br>
SFOR	Stabilization Force  <br>
SFS	security forces squadron <br>
SG	strike group; supergroup; Surgeon General  <br>
SGEMP	system-generated electromagnetic pulse <br>
SGSA	squadron group systems advisor <br>
SGSI	stabilized glide slope indicator <br>
SHAPE	Supreme Headquarters Allied Powers, Europe  <br>
SHD	special handling designator <br>
SHF	super-high frequency  <br>
SHORAD	short-range air defense <br>
SHORADEZ	short-range air defense engagement zone  <br>
SI	special intelligence  <br>
SIA	station of initial assignment <br>
SIAGL	survey instrument azimuth gyroscope lightweight  <br>
SIC	subject identification code <br>
SICO	sector interface control officer <br>
SICR	specific intelligence collection requirement <br>
SID	secondary imagery dissemination; standard instrument departure <br>
SIDAC	single integrated damage analysis capability  <br>
SIDL	standard intelligence documents list <br>
SIDS	secondary imagery dissemination system <br>
SIF	selective identification feature <br>
SIG	signal   <br>
SIGINT	signals intelligence  <br>
SIGSEC	signal security  <br>
SII	seriously ill or injured; statement of intelligence interest  <br>
SIM	system impact message <br>
SIMLM	single integrated medical logistics management; single integrated medical logistics manager <br>
SINCGARS	single-channel ground and airborne radio system <br>
SINS	ship’s inertial navigation system <br>
SIO	senior intelligence officer; special information operations <br>
SIOP	Single Integrated Operational Plan <br>
SIOP-ESI	Single Integrated Operational Plan-Extremely Sensitive Information <br>
SIPRNET	SECRET Internet Protocol Router Network  <br>
SIR	serious incident report; specific information requirement <br>
SIRADS	stored imagery repository and dissemination system <br>
SIRMO	senior information resources management official  <br>
SIS	special information systems <br>
SITLM	single integrated theater logistic manager  <br>
SITREP	situation report  <br>
SIV	special interest vessel <br>
SJA	staff judge advocate <br>
SJFHQ	standing joint force headquarters <br>
SJFHQ(CE)	standing joint force headquarters (core element) <br>
SJFHQ-N	Standing Joint Force Headquarters - North <br>
SJS	Secretary, Joint Staff <br>
SKE	station-keeping equipment  <br>
SL	sea level; switch locator <br>
SLA	service level agreement <br>
SLAM	stand-off land attack missile <br>
SLAR	side-looking airborne radar <br>
SLBM	submarine-launched ballistic missile <br>
SLC	satellite laser communications; single line concept <br>
SLCM	sea-launched cruise missile <br>
SLCP	ship lighterage control point; ship’s loading characteristics pamphlet  <br>
SLD	system link designator <br>
SLEP	service life extension program <br>
SLGR	small, lightweight ground receiver (GPS)  <br>
SLIT	serial-lot item tracking <br>
SLO	space liaison officer <br>
SLOC	sea line of communications <br>
SLP	seaward launch point <br>
SLRP	survey, liaison, and reconnaissance party  <br>
SLWT	side loadable warping tug <br>
SM	Secretary, Joint Staff, memorandum; Service manager; staff memorandum; system manager <br>
SMART	special medical augmentation response team  <br>
SMART-AIT	special medical augmentation response - aeromedical isolation team  <br>
SMC	midpoint compromise track spacing; search and rescue mission coordinator; system master catalog <br>
SMCA	single manager for conventional ammunition  <br>
SMCC	strategic mobile command center <br>
SMCM	surface mine countermeasures <br>
SMCOO	spectrum management concept of operations  <br>
SMCR	Selected Marine Corps Reserve <br>
SMD	strategic missile defense <br>
SMDC	Space & Missile Defense Command (Army) <br>
SME	subject matter expert <br>
SMEB	significant military exercise brief <br>
SMEO	small end office <br>
SMFT	semi-trailer mounted fabric tank <br>
SMI	security management infrastructure <br>
SMIO	search and rescue (SAR) mission information officer   <br>
SMO	senior meteorological and oceanographic officer; strategic mobility office(r); support to military operations <br>
SMP	sub-motor pool  <br>
SMPT	School of Military Packaging Technology  <br>
SMRI	service message routing indicator <br>
SMS	single mobility system <br>
SMTP	simple message transfer protocol <br>
SMU	special mission unit; supported activities supply system (SASSY) management unit <br>
SNCO	staff noncommissioned officer <br>
SNF	strategic nuclear forces <br>
SNIE	special national intelligence estimates <br>
SNLC	Senior North Atlantic Treaty Organization (NATO) Logisticians Conference  <br>
SNM	system notification message <br>
SNOI	signal not of interest <br>
SO	safety observer; special operations <br>
SO-peculiar	special operations-peculiar  <br>
SOA	separate operating agency; special operations aviation; speed of advance; status of action; sustained operations ashore     <br>
SOAF	status of action file <br>
SOC	security operations center; special operations commander <br>
SOCA	special operations communications assembly <br>
SOCC	Sector Operations Control Center (NORAD)  <br>
SOCCE	special operations command and control element <br>
SOCCENT	Special Operations Component, United States Central Command   <br>
SOCCET	special operations critical care evacuation team <br>
SOCCT	special operations combat control team  <br>
SOCEUR	Special Operations Component, United States European Command   <br>
SOCEX	special operations capable exercise <br>
SOCJFCOM	Special Operations Command, Joint Forces Command <br>
SOCOORD	special operations coordination element <br>
SOCP	special operations communication package <br>
SOCPAC	Special Operations Component, United States Pacific Command   <br>
SOCRATES	Special Operations Command, Research, Analysis, and <br>
SOCSOUTH	Special Operations Component, United States Southern <br>
SOD	special operations division; strategy and options decision (Planning, Programming, and Budgeting System) <br>
SODARS	special operations debrief and retrieval system <br>
SOE	special operations executive <br>
SOF	special operations forces; supervisor of flying <br>
SOFA	status-of-forces agreement  <br>
SOFAR	sound fixing and ranging <br>
SOFLAM	special operations laser marker <br>
SOFME	special operations forces medical element  <br>
SOFSA	special operations forces support activity  <br>
SOG	special operations group <br>
SOI	signal of interest; signal operating instructions; space object identification <br>
SOIC	senior officer of the Intelligence Community <br>
SOLAS	safety of life at sea  <br>
SOLE	special operations liaison element <br>
SOLIS	signals intelligence (SIGINT) On-line Information System <br>
SOLL	special operations low-level <br>
SOM	satellite communications operational manager; start of message; system operational manager <br>
SOMA	status of mission agreement <br>
SOMPF	special operations mission planning folder  <br>
SONMET	special operations naval mobile environment team <br>
SOOP	Center for Operations, Plans, and Policy <br>
SOP	standard operating procedure; standing operating procedure <br>
SOPA	senior officer present afloat (USN)  <br>
SOR	statement of requirement <br>
SORTIEALOT	sortie allotment message <br>
SORTS	Status of Resources and Training System <br>
SOS	special operations squadron <br>
SOSB	special operations support battalion <br>
SOSC	special opertions support command (theater army) <br>
SOSCOM	special operations support command <br>
SOSE	special operations staff element <br>
SOSG	station operations support group <br>
SOSR	suppress, obscure, secure, and reduce  <br>
SOTA	signals intelligence (SIGINT) operational tasking authority <br>
SOTAC	special operations terminal attack controller  <br>
SOTF	special operations task force <br>
SOTSE	special operations theater support element  <br>
SOUTHAF	Southern Command Air Forces <br>
SOUTHROC	Southern Region Operational Center (USSOUTHCOM)  <br>
SOW	special operations wing; standoff weapon; statement of work  <br>
SOWT	special operations weather team <br>
SOWT/TE	special operations weather team/tactical element  <br>
SP	security police  <br>
SPA	special psychological operations (PSYOP) assessment; submarine patrol area  <br>
SPACEAF	Space Air Forces <br>
SPACECON	control of space information <br>
SPCC	ships parts control center (USN)  <br>
SPEAR	strike protection evaluation and antiair research <br>
SPEC	specified   <br>
SPECAT	special category  <br>
SPECWAR	special warfare  <br>
SPG	Strategic Planning Guidance <br>
SPI	special investigative (USAF) <br>
SPINS	special instructions  <br>
SPINTCOMM	special intelligence communications handling system  <br>
SPIREP	specialist intelligence report; spot intelligence report <br>
SPLX	simplex   <br>
SPM	single point mooring; single port manager <br>
SPMAGTF	special purpose Marine air-ground task force <br>
SPO	system program office <br>
SPOC	search and rescue (SAR) points of contact; space command operations center; Space Operations Center (USSPACECOM)     <br>
SPOD	seaport of debarkation <br>
SPOE	seaport of embarkation <br>
