##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
SLAM	Standoff Land Attack Missile
SLAPSTICK	World War II (9 September 1943) British airborne landing at Taranto, Italy, mounted from Bizerte, Tunisia
SLAR	Side-Looking Airborne Radar
SLAT	Ship-Launched Air-Targeted (missile)
SLBM	Submarine-Launched Ballistic Missile
SLC	Submarine Laser Communications
SLCM	Sea-Launched Cruise Missile (formerly Submarine-Launched)
SLEDGEHAMMER	World War II (1942) plan for a limited cross-Channel attack
SLEP	Service Life Extension Program (USN/USCG)
SLKT	Survivability, Lethality, and Key Technologies
SLMM	Submarine-Launched Mobile Mine
SLOC	Sea Line(s) Of Communication
SLV	Small Launch Vehicle<BR> <BR>A low-cost, responsive launch vehicle.<BR><BR>Space Launch Vehicle
SLV-DS	Small Launch Vehicle Demonstration System<BR>
SLV-OS	Small Launch Vehicle Operational System<BR>
SLWPG	Senior Level Weapons Protection Group
SM	Standard Missile
SMACK	Korean War plan for a combined air-tank-infantry-artillery test strike
SMART-T	Secure Mobile Anti-Jam Reliable Tactical Terminals
SMASH	Gulf War code name for a phase line applying to both XVIII Airborne Corps and VII Corps
SMCR	Selected US Marine Corps Reserve
SME	Small and Medium-sized Enterprises
SMG	Submachine Gun
Smokeless Powder|Smokelesspowder	Smokeless Powder is used almost exclusively as the propellant for gun and rocket ammunition. It is manufactured under uniform conditions and grained to a uniform size in the form of flakes, strips, sheets, balls, cords or perforated cylindrical grains. <BR>Some of the more frequently used types of smokeless powder are <A href='bword://guncotton'>guncotton</A> , <A href='bword://Ballistite'>Ballistite</A> , and <A href='bword://CorditeN'>Cordite N</A> <BR>
SMP	SOVIET MILITARY POWER (DoD annual assessment)
SNA	Soviet Naval Aviation
SNAFU	Situation Normal, All Fouled Up (slang)
SNCO	Senior Non-Commissioned Officer
SNDL	Special Navy Distribution List
SNDV	Strategic Nuclear Delivery Vehicle
SNEP	Saudi Naval Expansion Program
SNF	ShortRange Nuclear Forces
SNFL	Standing Naval Forces Atlantic
SNFM	Standing Naval Forces Mediterranean
SNLC	Senior NATO Logisticians' Conference
SNR	Signal-to-Noise Ratio (sonar) <BR> <BR>
SO	Standardisation Objective
SOA	Speed of Advance (ship)
SOB	Soviet Order of Battle
SOCS	Ship Operational Characteristics Study
SODS	Strategic Ofensive Delivery Systems
SOE	Socially-owned enterprise
SOF	Special Operations Force(s)
SOFA	Status Of Forces Agreement
SOJ	Stand-Off Jamming
SOJS	Stand-Off Jammer Suppression
SOLIS	SIGINT Online Intelligence/Information System
Soman|GD|T-300	Although the third <A href='bword://nervegas'>nerve agent</A> developed in Germany, soman received the Allied coding GD. No chemical agent was ever coded GC, as it used to be the medical reference for the disease gonorrhea. While continuing the research after the discovery of sarin, the German chemists first came across a more toxic substance, called T-210, which was apparently not further developed, before discovering soman in 1944. The origin of the name is uncertain and may have been derived from Greek ('sleep') or Latin ('bludgeon'). <BR> <BR>After World War II, soman was incorporated into the Soviet arsenals. A thickened variant was developed for use in 250kg chemical spray tanks. The thickened soman is a yellowish-brown, highly viscous liquid with a slight aromatic odour. During the 1980s, many Western sources referred to this agent as VR-55, but more recent literature identifies VR-55 as an isomer of VX. <BR> <BR>Nerve agents in general attack the nervous system of the human body. When a nerve receives a stimulus acetylcholine is released in order to carry the impulse to muscles and organs. Once the impulse has passed the enzyme cholinesterase acts to prevent the accumulation of acetylcholine after its release in the nervous system. Nerve agents inhibit the functioning of cholinesterase, as a consequence of which the acetylcholine continues to act so that nervous impulses keep on being transmitted. The first symptoms a victim will experience following exposure to nerve agents are a runny nose, tightness in the chest and constriction of the pupils (miosis). The victim will then encounter breathing difficulties, drooling from the mouth and nausea. Because he loses control over his bodily functions, he will involuntary vomit, defecate and urinate. This phase is followed by twitching and jerking. Ultimately the victim will become comatose and suffocate as a consequence of convulsive spasms. <BR> <BR>Soman is extremely toxic by absorption through the skin and death will follow about 15 minutes after a lethal dose has been absorbed. In case of inhalation or absorption of a lethal dose through the eyes, death will occur between 1 and 10 minutes. Soman is readily absorbed into the bloodstream and reacts immediately with neural tissue, particularly in the brain, which explains its greater lethality. Inhibited acetylcholinesterase cannot be reactivated, so that some forms of medical treatment against nerve agents, such as oxime-based drugs to give the body time to destroy and excrete the toxic substances, are useless against soman. <BR> <BR>More information: <BR><A href='http://projects.sipri.se/cbw/'>SIPRI Chemical and Biological Warfare Project </A>
sonar	Sound Navigation &amp; Ranging (originally Sounding, Navigating
SOP	Standard Operational Procedure
SOPA	Senior Officer Present Afloat (USN)
SOR	Statement of Requirement
SOSS	Soviet Ocean Surveillance System
SOSUS	Sound Surveillance System (seafloor)<BR><A href='http://www.periscope.ucg.com/terms/t0000269.html'> </A><BR>
SOUTHERN STORM	Gulf War code name used by 24th Infantry Division in preliminary planning for an offensive operation into Kuwait
SOUTHERN WATCH	United States Central Command operations initiated after Gulf War to enforce United Nations "no-fly" restrictions in southern Iraq
SOW	Stand-Off Weapon
SP	South Eastern Europe Stability Pact <BR><BR>The Stability Pact is the first serious attempt by the international community to replace the previous, reactive crisis intervention policy in South Eastern Europe with a comprehensive, long-term conflict prevention strategy. On 10 June 1999, at the EU's initiative, the Stability Pact for South Eastern Europe was adopted in Cologne. In the founding docu-ment, more than 40 partner countries and organisations undertook to strengthen the countries of South Eastern Europe "in their efforts to foster peace, democracy, respect for human rights and economic prosperity in order to achieve stability in the whole region". Euro-Atlantic integration was promised to all the countries in the region. At a summit meeting in Sarajevo on 30 July 1999, the Pact was reaffirmed. The idea for the Stability Pact arose in late 1998 and thus predates the Kosovo war. But the NATO intervention undoubtedly acted as a catalyst in strengthening international political will for co-ordinated and preventive action in the region. The Stability Pact is based on key experiences and lessons from worldwide international crisis management. Conflict prevention and peace building can be successful only if they start in parallel in three key sectors: the creation of a secure environment, the promotion of sustainable democratic systems, and the promotion of economic and social well-being. Only if there is progress in all three sectors can a self-sustaining process of peace be achieved<BR><BR>Official Web Page:<BR><A href='http://www.stabilitypact.org/'>http://www.stabilitypact.org/</A> <BR>.<BR>
SPADATS	Space Detection And Tracking System
SPADOC	Space Defense Operations Center
SPAIN	Gulf War VII Corps phase line
SPAWAR	Space and Naval Warfare Command (USN)
SPC	Senior Political Committee
SPC(R)|SPC	Senior Political Committee (Reinforced)
SPCC	Ships Parts Control Center (USN)
SPCS	Ship’s Positioning and Control System
Spec	Special<BR><A href='http://www.periscope.ucg.com/terms/t0000270.html'> </A><BR>
SPH	Self-Propelled Howitzer
SPHERE	The SPHERE project involved a coalition of over 225 European and North American NGOs in developing minimum standards in five key sectors of humanitarian response: water and sanitation; food security; nutrition; health services; and shelter and site selection. These are now widely being used in drawing up logframes in emergency situations and are also likely to be used in subsequent evaluations.<BR><BR>Read it here:<BR>http://www.berghof-center.org/handbook/hoffman/index.htm <BR>.<BR><BR><BR>
SPO	Special Projects Office (USN)
SPOW	Scientific Program of Work
SPRAA	Strategic Plans and Resource Analysis Agency
SPS	Systems Performance Specification<BR> <BR> <BR>Simplified Processing Station
Sqdn	Squadron
SR	STRONG RESOLVE (NATO exercise)
SRA	Selected Restricted Availability (in shipyard)
SRAM	Short-Range Attack Missile (AGM-69A)
SRB	Selective Re-enlistment Bonus (USN)
SRBM	Short-range Ballistic Missile
SRC	Submarine Rescue Chamber (McCann rescue bell)
SRF	Strategic Rocket Forces (Soviet)
SRINF	Shorter Range Intermediate-range Nuclear Forces
SRMH	Single Role Minehunter
SRP	Sealift Readiness Program (USN)
SRSG	Special Representative of the Secretary-General
SRT(s)|SRT	Strategic Relocatable Targets
SS	Surface-to-Surface missile,<BR><BR>Alternative: Attack Submarine (designation) <BR> <BR>
SS-N	Surface-to-Surface missile, Naval <BR> <BR>
SSB	Ballistic Missile Sub, diesel-electric propelled
SSBN	Ballistic Missile Sub, nuclear-propelled
SSC	Surface-to-Surface missile, Coastal <BR> <BR>
SSG	Ships Service Generator, Staff Sergeant (USAF)
SSM	Surface-to-surface missile
SSN	Attack Submarine, Nuclear (designation)
SSPO	Strategic Systems Projects Office (USN)
SST	Supersonic Transport
SSTOL	Super-Short Take-Off and Landing
SSTS	Space Surveillance and Tracking System
st	Static Thrust
STALEMATE	World War II invasion of the Palaus
STANAG	Standardisation Agreement
STANAVFORCHAN	Standing Naval Force Channel
STANAVFORLANT	Standing Naval Force Atlantic
STANAVFORMED	Standing Naval Force Mediterranean
STANG	Standarized Agreement
START	Strategic Arms Reduction Talks (follow-on to SALT)
STC	SHAPE Technical Centre
STD	Standard
STEEL	BOX Removal of chemical weapons from Germany 26 June-22 September 1990
STEWART	Gulf War code name for an XVIII Airborne Corps area of operations
STO	Short Take-Off
STOL	Short Take-Off and Landing
STOVL	Short Take-Off/Vertical Landing
STP	Submarine Technology Program (DARPA)
STRANGLE	Korean War (1951) air operations to disrupt North Korean logistics by interdiction bombing
Strat	strategic<BR><A href='http://www.periscope.ucg.com/terms/t0000273.html'> </A><BR>
STRIKFORSOUTH	Naval Striking and Support Forces
STURMFLUT	World War II (19-22 February 1943) German operation by Field Marshal Rommel against the Kasserine Pass and Sbiba gap
Su	Sukhoi (Soviet aircraft designation)
Sub	Submarine
SUBACS	Submarine Advanced Combat System (now AN/BSY-1)
SUBROC	submarine rocket
SUBTRACEN	Training Center
SUM	Shallow Underwater Missile
SUNDIAL	Korean War plan to establish the <A href='bword://DULUTH'>DULUTH</A> defensive line
Sup	Superiority
SUPER-GYMNAST	World War II plan for Anglo-American invasion of French North Africa, combining US and British plans [often used interchangeably with <A href='bword://GYMNAST'>GYMNAST</A>]
SUPERCHARGE	World War II (November 1942) breakout by British 30 Corps in Egypt as part of Eighth Army's offensive in the Western Desert
Supp	Support
SupShip	Supervisor of Shipbuilding
SURTASS	Surveillance Towed-Array Sonar System
SuShM	Submarine-to-ship missile
SUW-N	Surface-to-Underwater missile (naval)
SVIP	Secure Voice Improvement Program
SVLA	Steered Vertical Line Array (sonobuoy)
SW	Surface Warfare
SWA	Southwest Asia
SWATH	Small Waterplane Area Twin Hull (ship)
Swedish military ranks|smrs	Complete list of Swedish army ranks: <BR> <BR><A href='bword://Fältmarskalk'>Fältmarskalk</A> (1) <BR><A href='bword://General'>General</A> <BR><A href='bword://Generallöjtnant'>Generallöjtnant</A> <BR><A href='bword://Generalmajor'>Generalmajor</A> <BR><A href='bword://öv1'>Överste av 1:a graden</A> / Brigadgeneral (3) <BR><A href='bword://Överste'>Överste</A> <BR><A href='bword://Överstelöjtnant'>Överstelöjtnant</A> <BR><A href='bword://Major'>Major</A> <BR><A href='bword://Kapten'>Kapten</A> <BR><A href='bword://Löjtnant'>Löjtnant</A> <BR><A href='bword://Fänrik'>Fänrik</A> <BR><A href='bword://Kadett'>Kadett</A> <BR> <BR><A href='bword://Förvaltare'>Förvaltare</A> (1) <BR><A href='bword://Fanjunkare'>Fanjunkare</A> (2) <BR><A href='bword://Sergeant'>Sergeant</A> <BR> <BR><A href='bword://Rustmästare'>Rustmästare</A> (1) <BR><A href='bword://Överfurir'>Överfurir</A> (2) <BR><A href='bword://Furir'>Furir</A> <BR><A href='bword://Korpral'>Korpral</A> <BR><A href='bword://vkrprl'>Vice korpral</A> (1) <BR><A href='bword://Menig'>Menig</A> <BR> <BR>Notes: <BR>1: A rank not used after 1972 in Sweden <BR>2: No new appointments of this rank after 1992 in Sweden <BR>3: There has been no new appointments of "Överste av första graden" after July 1, 2000. Instead, to make the rank more international, the new rank "Brigadgeneral" is substituting "Överste av första graden". In the Navy the corresponding rank is called "Flottiljamiral". <BR> <BR>Rank list from: <A href='http://www.algonet.se/~hogman/regementen_military%20ranks.htm'>http://www.algonet.se/~hogman/regementen_military%20ranks.htm</A> <BR> <BR>
SWI	Special Weather Intelligence
swing-role|"swing-role"	swing-role is the ability to employ a <A href='bword://multi-role'>multi-role</A> aircraft for multiple purposes during the same mission
SWITCHBACK	Vietnam program November 1962-July 1963 in which the Army began assuming responsibility for the U.S. participation in the CIDG program
SWO	Surface Warfare Officer (USN)
SWORD	World War II code name for the assault beach at Normandy assigned to British 3d Division
SWS	Strategic Warning Staff
SY	Shipyard (also SYd, US usage is generally NSY)
SYMBOL	World War II cover name for the Casablanca Conference (14-23 January 1943)
syst	System
T&E	Test and Evaluation
T/O	Take Off
Tabun|GA|Gelan|Le100|Stoff-83|T-83|Trilon-83	Tabun was the first <A href='bword://nervegas'>nerve agent</A> to be discovered. Dr Gerhard Schräder came across it in 1937 through his research into pesticides based on organophosphorus bondings. Tabun belongs to the G(erman)-class of nerve agent. The word 'tabun' has no particular meaning and was reportedly made up by Dr Schräder to disguise the discovery. The first time Tabun or any other nerve agent ws ever used in war was by Iraq against Iran in 1984. Subsequently, its use was confirmed repeatedly until the end of the war in 1988. <BR> <BR>Nerve agents in general attack the nervous system of the human body. When a nerve receives a stimulus acetylcholine is released in order to carry the impulse to muscles and organs. Once the impulse has passed, the enzyme <I>cholinesterase</I> acts to prevent the accumulation of acetylcholine after its release in the nervous system. Nerve agents inhibit the functioning of cholinesterase, as a consequence of which the acetylcholine continues to act so that nervous impulses continue to be transmitted. The first symptoms a victim will experience following exposure to nerve agents are a runny nose, tightness in the chest and constriction of the pupils (miosis). The victim will then encounter difficulties breathing, drooling from the mouth and nausea. Because of the loss of control over bodily functions, vomiting, defecation and urination occurs. This phase is followed by twitching and jerking. Ultimately the victim will become comatose and will suffocate as a consequence of convulsive spasms. <BR> <BR>Tabun is essentially absorbed through the skin, although vapours can also be hazardous. If a person does not receive an immediate lethal dose, death will occur after approximately 20 minutes. People who did not accumulate a lethal dose but did not receive immediate appropriate medical treatment may suffer permanent neurological damage. <BR> <BR>More information: <BR><A href='http://projects.sipri.se/cbw/'>SIPRI Chemical and Biological Warfare Project</A> <BR>
TAC	Tactical Air Command (now ACC)
TAC-AIR	Tactical Aircraft
TACAIR	Tactical Air
TACAMO	Take Charge And Move Out (E-6A aircraft)
TACAN	Tactical Air Navigation (military aviation)
TACC	Tactical Air Command Center (USMC)
TACMS	Tactical Missile System
TACO	Tactical Coordinator
TACOM	Tank-Automative Command (USA)
TACON	Tactical Control
TACS	Tactical Air Control System
TACTAS	Tactical Towed-Array Sonar<BR><A href='http://www.periscope.ucg.com/terms/t0000274.html'> </A><BR>
TAD	Temporary Additional Duty
TADS	Target Acquisition and Designation Sight
TAKR	TAKTICHESKOYE AVIANOSNYY KREYSER
TALISMAN	World War II name for early plan for post-hostilities activities in Germany
TALON	World War II Akyab part of <A href='bword://CAPITAL'>CAPITAL</A>
TALONS	Korean War outline plan for a ground offensive to bolster the Eighth Army's eastern front
TANGERINE	Gulf War code name for a VII Corps phase line
TAO	Tactical Action Officer (USN)
TAOC	Tactical Air Operations Center
TARCAP	Target Combat Air Patrol<BR><A href='http://www.periscope.ucg.com/terms/t0000277.html'> </A><BR>
TARPS	Tactical Air Reconnaissance Pod System<BR><A href='http://www.periscope.ucg.com/terms/t0000278.html'>TASK FORCE</A> <BR>
TARZAN	World War II India-based portion of the general offensive in Burma
TASM	Tomahawk anti-ship missile
TATP	<A href='bword://Explosive'>Explosive</A> , <BR>TATP (triacetone triperoxide) is made from acetone, peroxide and other easily obtainable ingredients. It is commonly used in terrorist attacks in the Middle East.
TAV	Technical Availability (USN)
TBMCS	Theater Battle Management Core System
TBS	The Basic School (USMC)
TCAC	Technical Control and Analysis Center
TCAS	Traffic Alert &amp; Collision Avoicance System
TCPS	Transportable Collective Protection System (USAF)
TDA	Tactical Decision Aid
TDAC	Training Data and Analysis Center
TDD	Task Description Document<BR>
TDY	Temporary Duty
TECHELINT	Technical Elint <BR>
TED	World War II code name for a task force operating in the Aitape area of New Guinea
TELINT	Telemetry Intelligence
Temco	Vought
TEMP	Test and Evaluation Master Plan
TEMPEST	TEMPEST COMMUNICATIONS SECURITY PROGRAM
TENCAP	Tactical Exploitation of National Capabilities
TERCOM	Terrain Contour Matching (guidance)<BR><A href='http://www.periscope.ucg.com/terms/t0000282.html'> </A><BR>
TERMINAL	World War II code name for the Potsdam Conference (16 July-2 August 1945)
Tetryl	Trinitrophenylmethylnitramine (Tetryl) , <BR> <BR>Tetryl can be initiated from flame, friction, shock, or sparks; it burns readily and is quite likely to detonate if burned in large quantities. Tetryl is the standard booster explosive and is sufficiently insensitive when compressed to be used safely as a booster <A href='bword://explosive'>explosive</A> . <BR>
TEUE	Training Effectiveness User Evaluation
TEWS	Tactical Electronic Warfare System
TEXAS	XVIII Airborne Corps north-south main supply route in Iraq during <A href='bword://DESERT STORM'>DESERT STORM</A>; extended from the vicinity of Rafha, Saudi Arabia, to As Salman, Iraq
TF	Task Force
TFW	Tactical Fighter Wing (USAF)
TG	Task Group
TGSM	Terminally Guided Submunitions
TGT	Target, Turbine Gas Temperature
THAAD	Theater High Altitude Area Defense
Than	Air (airships, blimps)
The	Horizon (radar)
THESEUS	World War II (1942) German plan for operations in Libya
THOMPSON	Gulf War Tactical Assembly Area for 1st Armored Division
THUNDERBOLT	Korean War (1951) reconnaissance in force operations up to the Han River
TIAP	Theater Intelligence Architecture Program
TIARA	Tactical Intelligence And Related Activities
TIC	Tactical Information Coordinator
TIDALWAVE	World War II code name for the 1943 low level attack on Ploesti, Rumania, by heavy bombers
TIGER	World War II code name for one of the rehearsal exercises for <A href='bword://OVERLORD'>OVERLORD</A>
TJS	Tactical Jamming System
Tk	tank
TLAM/C	Tomahawk Land-Attack Missile (Conventional)
TLAM/N	Tomahawk Land-Attack Missile (Nuclear)
TLS	Through Life Costs
TMC	Temporary Media Commissioner (OSCE, Kosovo) <BR><BR><B>The Temporary Media Commissioner</B> (TMC) was established under UNMiK Regulation 2000/36, on 17 June 2000. The TMC acts as the regulatory agency for broadcast media and is responsible for the implementation of a temporary licensing regime. This role includes upholding the principles of freedom of opinion and expression, but also disciplinary authority to ensure broadcasters meet uphold their licensing obligations. The TMC is independent and receives administrative support from the OSCE. The current Temporary Media Commissioner, Anna Di Lellio from Italy, was appointed by the <A href='bword://SRSG'>UN Special Representative of the Secretary-General</A><BR>on 5 September 2001. Information page:<BR><BR><A href='http://www.osce.org/kosovo/bodies/tmc/'>http://www.osce.org/kosovo/bodies/tmc/</A> <BR>.<BR>
TMD	Theater Missile Defense
Tng	Training
Tnr	Trainer
TNT|Trilite|Trinol|Tritolo|Triton|Troty	2,4,6-trinitrotoluene, <BR> <BR>Trinitrotoluene, commonly known as TNT, is a constituent of many <A href='bword://explosives'>explosives</A> , such as amatol, pentolite, tetrytol, torpex, tritonal, picratol, ednatol, and composition B. It has been used under such names as Triton, Trotyl, Trilite, Trinol, and Tritolo. <BR> <BR>In a refined form, TNT is one of the most stable of high explosives and can be stored over long periods of time. It is relatively insensitive to blows or friction. It is nonhygroscopic and does not form sensitive compounds with metals, but it is readily acted upon by alkalies to form unstable compounds that are very sensitive to heat and impact. TNT may exude an oily brown liquid. This exudate oozes out around the threads at the nose of the shell and may form a pool on the floor. The exudate is flammable and may contain particles of TNT. Pools of exudate should be carefully removed. <BR> <BR>TNT can be used as a booster or as a bursting charge for high-explosive shells and bombs. <BR> <BR>Information from: <A href='http://www.ordnance.org/'>The Ordonance Shop</A> <BR>
TO	Table of Organization
TO&E	Table of Organization and Equipment
TOA	Transfer of Authority
TOENAILS	World War II operation to capture New Georgia
TOGO	World War II second phase of the Japanese <A href='bword://ICHIGO'>ICHIGO</A> operation
TOMAHAWK	Korean War (1951) airborne operation by the 187th Regimental Combat Team at Munsan-ni as part of Operation <A href='bword://COURAGEOUS'>COURAGEOUS</A>
Ton	Miles per day
TOPSIS	Technique for Order Preference by Similarity to Ideal Solution
TORCH	World War II (November 1942) Allied invasion of northwest Africa
TOREADOR	World War II airborne assault on Mandalay
TORNADO	World War II operation to capture Wakde-Sarmi (1944)
tot	Total
TOUCHDOWN	Korean War operation to gain control of Heartbreak Ridge
TOW	Tube-launched, Optically tracked, Wire-guided missile
TPS	Test Pilot School (USN)
TPT	Tactical PSYOP Teams
TRADEWIND	World War II operation to capture Morotai (1944)
TRADOC	Training and Doctrine Command (USA)<BR><A href='http://www.periscope.ucg.com/terms/t0000283.html'> </A><BR>
TRAM	Traget Recognition Attack Multisenor
Trans	Transport<BR><A href='http://www.periscope.ucg.com/terms/t0000284.html'> </A><BR>
TRANSFIGURE	World War II plan (cancelled) for airborne operations on the west side of the Seine River to block German escape routes
TREBOR	Gulf War British name for Special Boat Service operation 28 February 1991 to reoccupy their embassy in Kuwait City
TRIAD	US strategic nuclear forces--bombers, ICBMs, and SLBMs<BR><A href='http://www.periscope.ucg.com/terms/t0000286.html'> </A><BR>
TRIDENT	World War II cover name for the Washington Conference (12-25 May 1943)
TRITAC	Tri-service Tactical Communications system<BR><A href='http://www.periscope.ucg.com/terms/t0000287.html'> </A><BR>
TRL	Technology Readiness Level
TRS	Tactical Reconnaissance Squadron/System<BR><A href='http://www.periscope.ucg.com/terms/t0000289.html'> </A><BR>
TSD	Tactical Situation Display SAR/Mapping radar
TSSAM	Tri-services Standoff Attack Missiles
TT	Torpedo Tube
TTFSE	Trade and Transport Facilitation in South East Europe
TTS	Tank Thermal Sight (USA)
TTTs	Tanker Transport Training System (USAF)
TTWS	Terminal Threat Warning System
TTY	Teletypewriter
TU	Task Unit<BR><BR>Alternative: Tupelov (Soviet aircraft designation) <BR> <BR>
TULSA	World War II first outline plan by General Headquarters, Southwest Pacific Area, for operations directed at the capture of Rabaul
TUNGSTEN	Gulf War name for 1st (United Kingdom) Armoured Division objective
TVA	Target Value Analysis
TVC	Thrust Vectoring Control
TVD	TEATR VOYENNYKH DEYSTVIY
TW/AA	Tactical Warning and Attack Assessment
TWILIGHT	World War II plan to base B-29 bombers in the China-Burma-India Theater of Operations
TWS	Track-While-Scan <BR> <BR>
TYPHOON	World War II operation to capture Sansapor-Mar (1944) in New Guinea
UAV	Unmanned Aerial Vehicle/Autonomous Vehicle
UBA	Underwater Breathing Apparatus (British)
UCA	Undefinitized Contractual Actions
UCAV	Combat UAV
UCMJ	Uniformed Code of Military Justice
UCP	Unified Command Plan
UDT	Underwater Demolition Team (no longer used)
UFC	Up Front Controller (The primary control console used to input data into the aircraft's computers, radios and other avionics)
UGS	Unattended Ground Sensor
UH	Utility Helicopter (designation)
UHF	Ultra-High Frequency
ULCC	Ultra-Large Crude Carrier (ship)
ULMS	Underwater Long-range Missile System (now Trident)
ULTRA	World War II signals intelligence derived from interception and decoding of German ENIGMA machine ciphers
UMOP	Unintentional Effectiveness User Evaluation
UN|FN	United Nations <BR> <BR>Official homepage: <A href='http://www.un.org/'>http://www.un.org</A> / <BR> <BR>
UNAMET	The United Nations Mission in East Timor (UNAMET) was established on 11 June 1999 and ended on 25 October 1999. <BR> <BR>Web page: http://<A href='http://www.un.org/peace/etimor99/etimor.htm'>www.un.org/peace/etimor99/etimor.htm</A> <BR> <BR>For current information, please consult : <BR> The United Nations Transitional Administration in East Timor (<A href='bword://UNTAET'>UNTAET</A>) <BR>
UNAMIR	United Nations Assistance Mission in Rwanda <BR> <BR>UNAMIR was originally established to help implement the Arusha Peace Agreement signed by the Rwandese parties on 4 August 1993. UNAMIR's mandate and strength were adjusted on a number of occasions in the face of the tragic events of the genocide and the changing situation in the country. UNAMIR's mandate came to an end on 8 March 1996 <BR> <BR>DURATION: October 1993 - March 1996 <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unamir.htm'>www.un.org/Depts/dpko/dpko/co_mission/unamir.htm</A>
UNAMSIL	United Nations Mission in Sierra Leone <BR> <BR> On 22 October 1999, the Security Council established UNAMSIL to cooperate with the Government and the other parties in implementing the Lome Peace Agreement and to assist in the implementation of the disarmament, demobilization and reintegration plan. On 7 February 2000, the Council revised UNAMSIL's mandate. It also expanded its size, as it did once again on 19 May 2000 and on 30 March 2001. <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/dpko/unamsil/body_unamsil.htm'>www.un.org/Depts/dpko/unamsil/body_unamsil.htm</A>
UNASOG	United Nations Aouzou Strip Observer Group <BR> <BR>UNASOG was established to verify the withdrawal of the Libyan administration and forces from the Aouzou Strip in accordance with the decision of the International Court of Justice. The Group accomplished its mandate after both sides - the Republic of Chad and the Libyan Arab Jamahiriya - declared withdrawal to be complete <BR> <BR>Duration: May – June 1994 <BR> <BR>UN Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unasog.htm'>www.un.org/Depts/dpko/dpko/co_mission/unasog.htm</A>
UNAVEM	United Nations Angola Verification Mission <BR> <BR>UNAVEM I was established in December 1988 to verify the phased and total withdrawal of Cuban troops from the territory of Angola. The withdrawal was completed by 25 May 1991. On 6 June, the Secretary-General reported to the Security Council that UNAVEM I had carried out, fully and effectively, the mandate entrusted to it <BR> <BR> UNAVEM I: <BR> DURATION: December 1988 - May 1991 <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unavem1/unavemi.htm'>www.un.org/Depts/DPKO/Missions/unavem1/unavemi.htm</A> <BR> <BR>UNAVEM II: <BR> DURATION: May 1991 - February 1995 <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/DPKO/Missions/unavem2/unavem2.htm'>www.un.org/Depts/DPKO/Missions/unavem2/unavem2.htm</A> <BR> <BR>UNAVEM III: <BR> DURATION: February 1995 - June 1997 <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/unavem3.htm'>www.un.org/Depts/dpko/dpko/co_mission/unavem3.htm</A> <BR> <BR>Succeded by <A href='bword://MONUA'>MONUA</A>
UNAVM	UN Angola Verification Mission
UNC	UN Command
unclas	unclassified
UNCONV WARFARE	Unconventional Warfare<BR>
UNCRO	United Nations Confidence Restoration Operation <BR> <BR>Established among other things to perform the functions envisaged in the ceasefire agreement of 29 March 1994; facilitate implementation of the economic agreement of 2 December 1994; monitor the crossing of military personnel, equipment, supplies and weapons over specified international borders; facilitate humanitarian assistance to Bosnia and Herzegovina through the territory of Croatia; monitor the demilitarization of the Prevlaka peninsula. <BR> <BR>Web page: http://<A href='http://www.un.org/Depts/dpko/dpko/co_mission/uncro.htm'>www.un.org/Depts/dpko/dpko/co_mission/uncro.htm</A>
UNDAC	The United Nations Disaster Assessment and Coordination (UNDAC) team is a stand-by team of disaster management professionals who are nominated and funded by member governments, OCHA, UNDP and operational humanitarian United Nations Agencies such as WFP, UNICEF and WHO. <BR> <BR> Upon request of a disaster-stricken country, the UNDAC team can be deployed within hours to carry out rapid assessment of priority needs and to support national Authorities and the United Nations Resident Coordinator to coordinate international relief on-site. <BR> <BR>Web page: <A href='http://www.reliefweb.int/undac/'>http://www.reliefweb.int/undac/</A>
UNDAF	India is among 18 countries taking the lead in evolving the <B>United Nations Development Assistance Framework</B> (UNDAF). It has been developed as a framework for assistance to Government of India’s development programmes. It is intended to increase the effectiveness and efficiency of <A href='bword://UN'>UN</A> operations by bringing about greater synergy in action. The development of the UNDAF has also set in motion a process of further strengthening UN collaboration in India by forging critical partnerships and promoting collective action. <BR> <BR>Homepage: <A href='http://www.un.org.in/undaf.htm'>http://www.un.org.in/undaf.htm</A> <BR><BR>
