##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
duckling|ducklings	ברווזון
duff	בצק<BR>פודינג מבושל מקמח, ביצים, פירות יבשים ותבלינים
durian	פרי מאכל מלזי ענק (שוקל עד כ- 4.5 קילו) בעל קליפה קוצנית חצי קשה ירקרקה-חומה וריח מבחיל למדי, אולם, הפנים בשרני, מתקתק, עשיר ובעל מרקם קטיפתי שמנתי.
durum wheat|durum|durumwheat|ãåøåí|çéèú ãåøåí	חיטת דורום
dust|dusted|dusting|dusts	(פ') לבזוק (בשכבה עדינה כאבק)
duxelles	ד-סל או דוקסל - תערובת של עשבים, בצלצלי שאלוט ופרטיות קצוצות דק ומבושלות בחמאה עד ליצירת ממרח סמיך בו משתמשים לתבל רטבים, מרקים ולעטר.
earth almond|chufa|earth almonds|earthnut|earthnuts|ground almond|ground almonds|rush nut|rushnut|tiger nut|tiger nuts|tigernut|yellow nutgrass|yellownutgrass	פקעות ברות מאכל הנראות כאגוזים גדלות על צמח ביצות הקרוי צ'ופה
eaux de vie|Au de Vie|AudeVie|eau de vie	"מי החיים" בצרפתית, מונח המתאר כל ברנדי נטול צבע או כל ספיריט אחר שזוקק ממיץ פירות מותסס.<BR>הפופולריים ביותר הינם קירש (מדובדבנים) ופרמבואז (מפטל)
egg foo yong|egg fooyong|eggfoo yong|eggfooyong|foo yong|fooyong	מנה אמריקאית-סינית : מעין אומלטים המורכבים מביצים ומגוון מרכיבים (כולל בשר), מנות קטנות מטוגנות עד להשחמה במחבת
egg substitutes|egg substitute	תחליף לביצים - נוזל הנמכר בקרטונים בארה"ב. לרב מדובר בתערובת עשירה בסודיום ללא כולסטרול של חלבונים, עמילן, שמן תירס, אבקת חלב רזה וטופו.
egg wash|eggwash	תערובת חלמונים עם מעט חלב/מים להבריש מאפים לשם הזהבה והברקה באפיה
eggplant caviar	מתאבן קר - מחית סמיכה של חצילים צלויים, עגבניות, בצלים, שמן זית ותבלינים
eggs Benedict|Benedict|egg Benedict|eggsBenedict	מנה קלאסית לבראנצ' - שני טוסטים/אינגליש מאפין קלויים וחצויים, פרוסת האם, ביצה שלוקה ורוטב הולנדייז
eggs Sardou|Sardou|egg Sardou	(ניו אורלינס) בסיס של ביצים שלוקות עליהן לבבות ארטישוק, האם, אנשובי, כמהין ורוטב הולנדייז
elderberry|elderberries	סמבוק (פרי המשמש בתעשיית היינות)
elk|elks|ãéùåï|ãéùåðéí	דישון, אייל גדול (חיית ציד)
elver|elvers|öìåôç|öìåôçéí	צלופח צעיר
embellished|embellish	מקושט<BR>(פ') לקשט, לייפות
emulsify	(פ') לתחלב - להפוך לתחליב
emulsion	תחליב
enamelware	כלי אמאייל (עשוי מזיגוג/ציפוי אמאייל)
enlivened|enliven	(פ') לעורר, להחיות (בבישול, ע"י הוספת תבלין חריף "מחיים" מנה)
enoki|enokidake|enokidake mushrooms|enokitake|velvet stem mushroom	זן של פטרית מאכל פריכה ומעודנת הגדלה כאשכול של גבעולי "ספגטי" מאורכים להם כיפות לבנבנות זעירות.
enriched|enrich	מועשר<BR>(פ') להעשיר, להשביח
entrails	קרביים, מעיים, איברים פנימיים של דג/עוף
entrecôte|entrecote	"בין הצלעות" - נתח סטייק מובחר ומעודן, הנחתך מהאזור שבין הצלע התשיעית לאחד עשר של הפרה
entremets	(מצרפתית) כיום הכוונה למנות אחרונות<BR>בעבר, המונח, שפשוטו כמשמעו "בין מנות", תיאר תוספות או מנות קטנות שהוגשו לצד או בין מנות עיקריות
epicure	(ש'ע) אנין טעם
en escabeche|Escovitch|escab?che|escabeche	מנה ספרדית של דג שלוק או מטוגן במרינדה חריפה שקורר לפחות כ- 24 שעות לפני הגשה כמתאבן. בג'אמייקה מכנים המנה : <I>Escovitch</I> <BR>(פ') מספרדית - להחמיץ, להשרות במרינדה/מי מלח/חומץ<BR>
escarole	סוג של עולש (ירק מאכל) בו משתמשים לסלט
espagnole sauce|brown sauce|espagnole	אחד מ'אבות הרטבים' - רוטב חום בסיסי
espresso|espreso|àñôøñå	אספרסו - סוג של קפה
essence|essences	תמצית צמחים מזוקקת, ניחוח
estate bottled|Erzeugerabf?llung|Erzeugerabfuellung|Gutsabf?llung|Gutsabfuellung|Imbottigliato all'Origine|Mis au Domaine|Mis en Bouteille au Domaine|ch?teau bottled|estate-bottled|estatebottled	תוית על יין שמשמעה שמאה אחוז מהענבים מהם יוצר היין גודלו בכרם של היקב, וכן היין עצמו יוצר ומולא בבקבוקים ביקב האמור, בצרפתית המונח הוא : Mis en Bouteille ? la Propri?t?<BR>או <I>Mis en Bouteille au Ch?teau</I><BR>באיטלקית : <I>Imbottigliato all'Origine</I><BR>ובגרמנית : <I>Gutsabf?llung</I> או <I>Erzeugerabf?llung</I><BR>כמו כן, המינוח מרמז שהיין מובחר.
ethyl alcohol|ethyl|ethylalcohol	כוהל אתילי
evaporated milk|evaporated	חלב טרי הומוגני לא מסוכר בפחית (לפחות 60% מהמים הוסרו מהנוזל)
eviscerate	(פ') להוציא מעיים, לפנות
expiration date|expiration|open dating	תאריך פג תוקף
fatty|fatti	שמן (מלא שומנים), שומני
fern|ferns	שרך (צמח)
fibrous	סיבי, מכיל סיבים
fiddlehead fern|ostrich fern	סוג של שרך (צמח)
firm	מוצק, קשה, נוקשה, יציב, חזק<BR>(פ') למצק, להתמצק, לייצב
fluffy|flafi|fluffi|flufi	אוורירי, קליל ורך, פלומתי
appetizer|appetizers	מתאבן (מנת פתיחה קטנטנה המוגשת במטרה לגרות את התיאבון)
fondant|fondants|fondenti|fundentes	פונדן - סוג של ממתק קרמלי
frijoles refritos|refried beans|refritos	ממרח שעועית מקסיקני : מבשלים שעועיות מסוג פינטו או אדומות, מועכים עד לקבלת פירה ואזי מטגנים, תכופות בשומן חזיר
fry|fried|frying	מטוגן<BR>(פ') לטגן<BR>(ש'ע) דג רקק, דגיגים, ראשנים
a la carte|a-la-carte	מנה  אותה מכינים לפי הזמנה (נבחרת מתוך תפריט המפרט את ההיצע  של המסעדה)
fries	(ש'ע) צ'יפס, מטוגנים, מזון מטוגן
french fries|fries|pomme frites	צ'יפס\nמצרפתית : pomme frites
full bodied|full-bodied|fullbodied	עשיר בטעם/ניחוח, חזק
gastropod	זן של רכיכה ממשפחת החילזון/שבלול
gin fizz|Ramos fizz|Ramos gin fizz	
glob|globs	טיפה, גבשושית/גוש
goblet	גביע
goldwasser|Gold wasser|guldenwater	"מי זהב" - סוג של ליקר
Hache|haches	קצוץ דק (מצרפתצית)
goma|kurogoma	גומי, מסטיק
grape sugar|corn sugar|dextrose	סוכר ענבים, דקסטרוז (תצורה של גלוקוז)
gratineed|gratin?e|gratin?ed|gratine|gratinee	מוקרמים, מושחמים, מצופי בקרום שהוקשה
greenling	סוג של דג מאכל
grinder	מטחנה או שן טוחנת
guts|gut	מעיים, קרביים<BR>GUT = גיד, מיתר, מעי
hallah|hallah bread|çìä	חלה (לחם השבת של היהודים)
hamantaschen|Haman's hats	אוזני המן - עוגיות משולשות יהודיות מסורתיות לחג הפורים
hamburger	המבורגר, קציצת בשר טחון המוגשת על לחמניה לרב עם פלחי עגבניה ומלפוון חמוץ ועלה חסה.
hard sauce	הרוטב הקלאסי לצד פודינג שזיפים - מקציפים חמאה, סוכר ונוזלים עד להקרמה (הנוזלים = ברנדי, רום או וויסקי). מקררים עד להקשחה (מרקם חמאתי)
hard-ball stage|hardball stage	נקודת 'מבחן' לסירופ סוכר המתארת את השלב בו כאשר טיפת סירופ סוכר רותחת מוכנסת למים קרים נוצר כדור נוקשה אם כי עדיין נוח עיצוב. הכוונה לטמפרטורה של בין 250 ל- 265 מעלות פרנהייט
hard-crack stage	נקודת 'מבחן' לסירופ סוכר המתארת את הנקודה בה טיפת סירופ סוכר רותחת במים קרים תתפרד לחוטים קשים ושבירים. מדובר בטמפרטורה של בין 300 ל- 310 מעלות פרנהייט
hard-shell clam	
hare	שם כללי ליונק דמוי מכרסם בעל אוזניים ורגליים אחוריות ארוכות שיועדו לקפיצה (קרוב משפחה של הארנבת).
harissa sauce|harissa|òøéñä	עריסה - ממרח טוניסאי חריף כאש מצ'ילי, שום, כמון, כוסברה, קימל ושמן זית
harusame|Japanese vermicelli|cellophane noodles	"גשם אביבי" (מיפנית) - אטריות יפניות מאורז, פולי סויה או קמח תפו"א. מכונות גם אטריות צלופן (מאחר ומעט שקופות) וורמיצ'ילי יפני
hasenpfeffer	האזוןפפר - נזיד בשר ארנבת גרמני עשיר ומתובל להפליא. הבשר מושרה במרינדת חומץ יין כ-1 עד 3 ימים לפני הבישול. מוגש לצד שמנת חמוצה.
hash	האש היא מנה מטוגנת עש השחמה של בשר מעושן/צלי חתוך דק, פלחי תפו"א ותבלינים (ניתן להוסיף גם ירקות כסלרי, פלפל ירוק ובצל)<BR>(פ') לקצוץ מזון לחתיכות קטנות
hasty pudding	דייסת קמח תירס חמה על בסיס חלב או מים ומולסה, מייפל או דבש.
hazelnut oil	שמן אלסרים (אגוזי לוז)
headcheese|head cheese	נקניקייה המופקת מהחלקים הבשרניים של ראשי עגל או חזיר מתובלנים ומציר מעובה וג'לטיני של בשר. אוכלים פרוסות דקיקות בטמפ' החדר.
hen-of-the-woods|hen of the woods	פטריית מאכל מתורבתת בצבע חום-אפור כהה ועיטור לבן
herbes de Provence	תערובת עשבי תיבול מיובשים, לרב מכילה בזיליקום, זרעי שומר, מיורן, לבנדר, רוזמרין, מרווה וטימין
hermit|hermits	עוגיה צמיגה ופיקנטית מלאה בפירות ואגוזים. מתיקותה מגיעה מסוכר חום או מולסה
hibachi	"קערת אש" מיפנית - הכוונה לקונטיינר קטן מברזל יצוק לדלק/פחמים. מעליו מניחים גריל ומכינים מזון
highball	קוקטייל וויסקי וסודה המוגש בכוס גבוהה על קרח
hijiki	סוג של אצה שחורה מיובשת בעלת טעם המזכיר אניס במקצת, המשמשת כירק במרק ומנות אחרות לאחר שמשריםאותה חזרה במים
hind	צביה (חיית ציד)
hind leg|hind legs	רגל אחורית של בע"ח
hiyamugi	אטריות קמח חיטה דקיקות המוגשות לרב קרות לצד מטבל סויה או כחלק ממנה. ניתן לקנותן מיובשות בשווקים אסיאתים
hock|ham hock|hamhock	1. החלק התחתון של רגל החיה (מקביל לאזור הקרסול האנושי)<BR>2. מינוח אנגלי ליינות לבנים גרמניים מאזור הריין
hog	חזיר מבוית (נועד לפיטום)
hog jowl|hogjowl	לחי חזיר מיושנת ומעושנת
hog maw|hogmaw	קיבת חזיר - לרב ממלאים אותה בתערובת (קישקע) ומבשלים באיטיות
holishkes|praches	הולישקעס - מאכל יהודי מזרח אירופאי : עלי כרוב ממולאים בתערובת בשר טחון, ביצים, בצלים ותבלינים. מוגש עם רוטב חמוץ-מתוק
hollandaise sauce|hollandaise	רוטב חם שמנתי ועשיר מחמאה, חלמונים ומיץ לימון. מעטרים עמו מנות דגים, ביצים ירקות (למשל אגס בנדיקט)
hom ha|homha|shrimp sauce	
homogeneous	אחיד, הומוגני
Bacardi	מותג של רום
mimosa|mimoza	קוקטייל שמפניה ומיץ תפוזים (2\\3 ו- 1\\3 בהתאמה) - מוגש קר
homogenized|homogenize	שעבר תהליך הומוגנציה<BR>(פ') להפוך/לעשות להומוגני = לגרום לכך שהשומן יתפזר/יופץ באופן שווה בתחליב (חלב)
hootch|hooch	1. כינוי למשקה אלכוהולי שהופק באופן בלתי חוקי (למשל בתקופה בה אסרו על שיווק אלכוהול ברה"ב בשנות ה- 20 של המאה שעברה) או שהוא זול להפליא.<BR>2. שם של מותג באנגליה שהוא "בירה לנשים" = למון הוץ', קרי בקבוק משקה המכיל בערך 5% אלכוהול וטעמו פירותי ומתוק (כמו בקרדי בריזר)
hoppin' John|hopping John	מנת שעועיות מזן black-eye המבושלת לצד בשר חזיר משומר ותבלינים ומוגשת עם אורז.<BR>אומרים שמקורה של מנה זו הוא בעבדים אפריקניים שעבדו במטעים הדרומיים
horchata|Horchata de arroz|horchata de almendras|horchatas	משקה אגוזים/דגנים קר (פופולרי במקסיקו וספרד). עשוי ממחית, מים וסוכר<BR><I>Horchata de arroz</I> - משקה אורז<BR><I>horchata de almendras</I> - משקה שקדים (כמו הרוזטה בארץ)<BR><I>horchata de chufa</I> - משקה שקדי אדמה (צ'ופה)<BR>
horehound	עשב מאכל ממשפחת המנטה ממנו מפיקים מיץ בו משתמשים להכנת סוכריה (מתוקה עם טעם מריר חבוי).<BR>משתמשים גם בצמח זה להכנת סירופ לשיעול.
hotchpotch|Lancashire hot pot|hochepot|hot pot|hotpot|hutspot	האצ'פאצ' - נזיד שכבות עשיר של ירקות ובשר. <BR>לכל עם גרסה משלו :<BR>בסקוטלנד לרב מוסיפים שעוריםוהבשר הוא של כבש או בקר ולעיתים של שכווי או ארנבת.<BR>באנגליה קוראים לנזיד הוט-פוט והמפורסם מכולם, <B>Lancashire hot pot</B>, מכיל בשר וכליות כבש, צדפות ושכבות תפו"א.<BR>בהולנד, ב- <B>hutspot</B> שמים בקר, בעוד שבצרפת ובלגיה שמים ב- <B>hochepot </B>רגלי ואוזני חזיר<B>.</B><BR>
hubbard squash	קישוא חורף גדול בעל קליפה קשה, עבה ועם "מהמורות" הנעה בים צבע ירוק כהה לכתום בוהק. לבשר הקישוא מרקם מעט גרגרי ולכן מומלץ להגישו אפוי או כפירה !<BR>מהווה מקור מצויין לויטמין A , ברזל וריבופלבין
huckleberry|huckleberries	מעין אוכמנית שחורה. קליפתה עבה יותר משל אוכמנית וטעמה פחות מתוק
humble pie|humble|humble pies	מנה אנגלית מהמאה ה-17 שנועדה למשרתים: ליבו, כבדו, כלייותיו ושאר אבריו הפנימיים של הצבי בושלו עם תפוחים, דומדמניות, סוכר ותבלינים ונאפו כפיא (הלורדים ניזונו מבשר הצבי).
hummus|çåîåñ	חומוס, ממרח מזרח תיכוני מגרגרי חומוס מרוסקים, שום, מיץ לימון, שמן זית ןתבלינים
hunan cuisine	מהמטבח הסיני : Chinese cuisine <BR>
hundred-year egg|Ming Dynasty egg|century egg|hundred year egg|hundredyear egg|thousand year egg|thousand-year egg|thousandyear egg	ביצה משומרת במעטפת ליים, עפר ומלח אותה קוברים למאה יום (קרוב לקרקע). הללים גורם לביצה להיראות כאילו היתה קבורה כמאה שנה. לאחר שמסירים הקליפה השחורה מגלים ביצה קשה בצבע ענבר חלבי וחלמון ירוק כהה. טעמה חזק וכשל גבינה
hushpuppy|hush puppy|hushpuppies	כופתאת קמח תירס ובצל ירוק המטוגנת בשמן עמוק.
hydrolyzed plant protein|hydrolyzed vegetable pro	פרוטאין המושג ממזון (כפולי סויה) אותו מפרקים לחומצות אמינו באמצעות הליך כימי המכונה acid hydrolysis. משמש למשפר טעם במזון מעובד.<BR>
ice wine|Eiswein|icewine	ייו קינוח עשיר ומלא טעם מענבים שנקטפו ונדרכו בעודם קפואים. מאחר ורב המים שבענב קפואים המיץ שמופק מרוכז, עשיר מאוד ומלא סוכרים וחומצות
iceberg lettuce|crisphead	סוג של חסה (רכה יותר מערבית)
immersion	כיסוי בנוזלים, טבילה, השקעה בנוזל
infusion	חליטה (של תה)
innards	איברים פנימיים, קרביים
instant cocoa|cocoa mix	'שוקולית' - קקאו נמס בן רגע
intestine|intestines	מעי<BR>מעיים, קרביים
invert sugar	סוכר מופחת אותו מכינים ע"י חימום סירופ סוכר עם כמות קטנה של חומצה (כקרם אוף טרטר או מיץ לימון), מה שמביא לפירוק הסוכרוז לשני מרכיביו : גלוקוזה ופרוטקוזה וליצירת גרגרי סוכר קטנים יותר ולכן משתמשים בו להכנת מאכלים בעלי מרקמים עדינים וחלקים כממתקים וסירופים<BR>* בהכנת ריבות סוכר זה נוצר באופן טבעי בשל השילוב של סוכר עם פירות (החומצות שבהם) וחימומם.
isinglass	ג'לטיןשקוף וטהור שמקורו בשלפוחיות האוויר של דגים, בעיקר החידקן
jackfruit|jack|jack fruit|jak	פרי טרופי (מזרח הודי) ענק, קרוב משפחה של התאנה. צורתו אובלית וקליפתו קוצנית. זרעיו ברי מאכל, לרב צלויים.
jackrabbit|jack rabbit	ארנב גדול בעל אוזניים ורגליים אחוריות ארוכות
jaggery|palm sugar	'סוכר דקלים', סוכר כהה, גס, לא מזוקק המופק מלשד של עצי דקל מגוונים. או ממיץ קני סוכר.<BR>משומש בעיקר בהודו, שם למעשה מכנים 'ג'גרי' סוכר העשוי מקני סוכר ו'גור', סוכר המופק מדקלים.
jalousie|jealousy	עוגה קטנה מבצק עלים ממולאת בשכבת ממרח שקדים ומעליה ריבה. החלק העליון מעוצב כשתי וערב כך שהריבה 'מציצה'.
jambalaya	מסימני ההיכר של המטבח הקריאולי - מנה ורסטילית מאורז מבושל ומגוון מרכיבים כעגבניוצ, בצלים, פלפלים ירוקים וכמעט כל סוג של בשר, עופות או פירות ים בעלי שריון. מרכיב חובה הוא האם על שנו קרויה המנה (JAMBON)
jamberry|mexican husk tomato|miltomate|purple ground cherry|tomatillo	צמח מקסיקני חד שנתי בעל פירות סגלגלים המזכירים עגבניות שרי.
jambon persillé|persillé	ג'מבו פרסי-יה - רצועות/קוביות האם מבושל ופטרוזיליה קצוצה בג'לטין מבשר ויין. המנה מוגשת קרה.<BR>
jardinière|A la jardinière	מינוח צרפתי למנה המעוטרת בפרוסות של ירקות המסודרים כל אחד בנפרד, בקבוצה, סביב המנה הראשית<BR>
jasmin rice|jasmine rice	חלופה תאילנדית ארומטית ו זולה לאורז הבסמטי ההודי היקר
jelly bean|bean|bin|jelli|jelli bean|jelli beans|jelly beans|jelly bin|jelly bins|jellybean|jellybeans|jellybin	סוכריות ג'לית
jellyfish|jelly fish	מדוזה
jerky|beef jerky|jerked meat	רצועות בשר דקות מיובשות (לרב בשמש) ומשומרות
jewfish|guasa|serranoid|warsaw	- דג מאכל גדול ממשפחת הדקר (גרופר). בשרו הלבן והמוצק ניתן להכנה כסטייק (כמו טונה).<BR>- דג גדול ממשפחת הסיבס (Serranidae) המצוי בחוף האטלנטי.
johnnycake|hoe cake|hoecake|johnny cake|jonny cake|jonnycake	לחם שטוח אפוי (דמוי פנקייק ויש האומרים האב הקדום שלו) מקמח תירס, מלח ומים רותחים או חלב קר. מכונה גם : <I>hoecake</I><BR>
joint|joints	מפרק<BR>(פ') לחלק בשר לנתחים (באזור המפרקים)
jumble|jumbal	סוג של עוגייה פריכה ומעודנת בצורת טבעת מצופה סוכר. לעיתים קרובות הבלילה להכנתה כוללת שמנת חמוצה ומי ורדים.
junket	ג'ונגקיט - מנה אחרונה בטקסטורת פודינג רך מחלב, סוכר, טעמים וגורם מחבץ.
kaasdoop|kaasdup|kasdoop|kasdup	מנה הולנדית : פונדו של גבינת גאודה מוגש לצד פלחי תפו"א מבושלים ופיסות לחם שיפון
kabocha squash|kabocha	סוג של דלעת חורף בצבע ירוק ופסים ירוקים בהירים ובשר כתמתם שלאחר בישול הופך מתקתק ורך וחלק במרקם.
kalamata olives|calamata|kalamata|kalamata olive	זיתי קלמטה - זית יווני שקדי בצבע חציל כהה בעחי טעם עשיר ופירותי
kampyo	מהמטבח היפני - רצועות דלעת בצבע ב'ז מאורכות ומיובשות בצורת קפיץ מתוח. משמשות כקשר אכיל של חופן מזון כשלהו.
kamut	"חיטה" במצרית עתיקה. קמוט הינו זן של חיטה עתירת פרוטאינים בעלת טעם אגוזי, המגודלת במונטנה, ארה"ב. גרגר חיטת הקמוט גדול פי 2-3 מגרגר חיטה רגילה .
kanten	ג'לי העשוי מאצות-ים ומשמש לרב כתרבית במעבדות, קרוי גם אגר (agar)
kara age|kara-age|karaage	קרה אג'ה - טכניקת טיגון עמוק יפנית בה לפני ההכנסה לשמן בוזקים קלות על המזון קמח/עמילן תירס/קוזו
karhi|kahri|kari	מרק יוגורט חריף (הודו)
kasseri cheese|kasseri	גבינת עיזעם/כבשים יוונית בעלת מרקם נוקשה האידיאלי לגירוד וטעם מלוח וחזק
katsudon	מיפנית: נתח בשר לבן (חזיר) מטוגן
kecap manis|kecapmanis|ketjap manis|ketjapmanis	קיצ'פ מניס - רוטב אינדונזי בצבע חום כהה ומרקם סירופי-סמיך המזכיר סויה אך מתוק יותר. הרוטב ממותק בעזרת סוכר דקלים ןמתןבלן בכוכבי אניס ושום
khachapuri|cachapuri|kachapuri|kashapuri	'הקלזונה' הגרוזיני - בצק שמרים ממולא בגבינה ואפוי עד השחמה.
kibbeh|kibbi	(לבנון/סוריה) ביסונים אובליים מבורגול ובשר טלה טחון
kielbasa|kilbasa	סוג של נקניק מעושן חריף
kimchee|kimchi	ממרח קוריאני של ירקות כבושים פיקנטי להפליא המוגש כמע עם כל ארוחה.
kinako|soy flour|soyflour	
king crab|Alaska king crab|Japanese king crab|king crabs|kingcrab	סרטן ענק מהאזור הפאסיפי הצפוני (נוץ באלסקה ויפן)בעל בשר לבן כשלג עם קצוות אדומים
kinome	עלים צעירים של ה- ash tree בעלי טעם מנטה עדין וטקסטורה עדינה - משמשים כעיטור למנות יפניות רבות.<BR>
kipfel|kifel|kipferln	1. חצאי סהר מבצק שמרים במלית של סוכר חום ואגוזים<BR>2. עוגיות חמאה עשירות בצורת חצי סהר ממולאות בריבה או באגוזים וסוכר חום
kippered|kipper	מעושן (דג)<BR>(פ') לעשן דגים
barbel|Barbeau|Barbo|barbels|barbio	סוג של דג מאכל
boce|Boga|Bogue	דג מאכל אירופאי
kippered herrings|Arenques|Aringhe|Harengs|kipper|kippers	הרינג מעושן
kir|keer	אפריטיף - יין לבן עם טיפת מיץ קסיס
kir royale|kir royal|kiroyal|kirroyal|kirroyale	אפריטיף - שמפניה עם מעט מיץ קסיס
kirschwasser	"מי דובדבנים" בגרמנית, הכוונה לברנדי שמזוקק מהמיץ והגלעינים של דובדבנים.
kishimen	אטריה יפנית רחבה ושטוחה מחיטה (רחבה ועבה יותר מאטריית האודון במקצת)
kishke|kishka	קישקע - "נקניקייה יהודית" מקמח, קמח מצות, שומן, בצלים ובשר טחון
kiss|kis|kisses	"נשיקה" - תל של מרנג (קצף ביצים חזק, לבן כשלג ומתוק אפוי) <BR>זהו גם שמם המסחרי של טיפות שוקולד עטופות אישית של חברת הרשי'ס.
kissel	קינוח רוסי פופולרי - פירה מפירות וסוכר מעובה בעמילן או קמח תפו"א
kiwano|horned melon	פרי מאכל ניו זילנדי, צורתו אובלית ועורו הקוצני צהוב בוהק, טקסטורת הבשר הירקרק-צהבהב היא של ג'לי וטעמו מזכיר מלפפון ובננה
knackwurst|knockwurst	סוג נקניקיות קצרות ושמנות (מגיעות בשרשרת) מבשר מבושל בניחוח שום. לרב מרתיחים או צולים אותן לפני הגשה לצד כרוב כבוש.
knaidlach|knaidel|matzo ball	קניידעלעך : כדורי קמח מצה שבושלו במרק צח.
knish|nish	קניש - מאכל יהודי : כיס בצק ממולא בפירה תפו"א/פטריות/בצל/גבינה/בשר טחון וכד', לעיתים מצופה בפירורי לחם ומטוגן ולעיתים אפוי.
knotroot|Chinese artichoke	
kochujang|chile bean paste|kochu chang|kochu jang|kochuchang	ממרח שעועית צ'ילי
kolacky|kolachke	גם הפולנים וגם בצ'כים טוענים שמקורו של מאפה זה בארצם.<BR>קולצ'י הן מאפה שמרים מתוק ממולא בפרג, אגוזים, ריבה או פירה מפירות.
konnyaku|kuro konnyaku|kurokonnyaku|shiru konnyaku|shirukonnyaku	גוש ג'לטיני חסר טעם סמי-שקוף מעמילן של פקעת בטטית הידועה בשם "לשון השטן" = <I>devil's tongue</I><BR>סופח את הטעם של המזון עמו בושל.<BR><I>shiru konnyaku</I> = גרסה מעודנת בצבע פנינתי<BR><I>kuro konnyaku</I> = הגרסה המנומרת בכתמים כהים<BR><BR>
korma	מנה פופולרית בהודו ופאקיסטן : כבש/טלה/עוף ובצלים בקארי.
kosher|cosher|kasher|ëùø	כשר<BR>(פ') להכשיר, לעשות כשר
kosher salt|koshersalt	מלח גס, קיבל את כינויו זה בארה"ב מאחר ועמו מכשירים בשר בקר (ע"י המלחה)
kourabiedes	קוראבי'יאידס - עוגיות יווניות נימוחות ומצופות באבקת סוכר.
kreplach|÷øôìê|÷øôòìòê	קרפעלעך - הוון טון היהודי : כיסי בצק אטריות ממולאים בשר והמוגשים במרק
ku chai|garlic chives	זן של עירית עם טעם שומי
kudzu|kudzu powder|kudzu vine|kudzuvine|kuzu	צמח-גפן ממשפחת הקטניות הפופולרי בסין ויפן שם אוכלים את עליו וגבעוליו מבושלים, אולם עיקר השיומש בו היא בשורשיו העצומים אותם ייבשים וטוחנים.<BR>אבקת הקודזו העמילנית משמשת בתחומים קולינריים נרחבים מעיבוי מרקים ורטבים ועד קימוח מזון לפני טיגון עמוק.<BR>אבקת קודזו עשירה בסיבים, פרוטאין וויטמיני A ו- D
kugelhopf|gugelhopf|kugelhupf	עוגת שמרים אוורירית הנאפית בתבנית קפיצית מיוחדת בצורת טבעת. העוגה ממולאת באגוזים, פירות מסוכרים וצימוקים. לרב בוזקים עליה אבקת סוכר לקישוט.
kulich	עוגת שמרים רוסית לחג הפסחא אשר צורתה גבוהה וצילינדרית. מוסיפים לבצק זעפרן, צימוקים ופירות מסוכרים.לרב מוגשת עם פאשקה (קרם גבינה שמנתי)
kumiss|koumiss	משקה מעט אלכוהולי מריר מחלב גמלים
label	תווית, תג
lactic	חלבי, מופק מחלב או של חלב<BR>Lactic Acid = חומצת חלב
lactose	סוכר חלב, לקטוזה
lager	לאגר - סוג של שיכר בירה
lambrusco	יין איטלקי צעיר המגיע בגרסה לבנה, אדומה ורוזה.
lamprey	סוג של דג מאכל דמוי צלופח
langouste	לובסטר 'קוצני' (מצרפתית)
lapin	ארנב
larding needle	כלי מיוחד למשוח בשר בשומן חזיר
late harvest	תווית אמריקאית ליינות, שמשמעה "בציר מאוחר" והכוונה ליינות שהופקו מענבים שנקטפו לקראת סוף עונת הבציר (סתיו), ובעיקר אלו שהצטמקו לאור עובש מזן botrytis cinerea. יינות בציר מאוחר הם לרב מתוקים ובעלי אחוז אלכוהול גבוה, הענבים הפופולריים להכנת יינות בציר מאוחר הינם גוורצטרמינר, ריזלינג וסוביניון בלאן.<BR>
latkes|latke	לטקעס, לביבות חנוכה - קציצות תפו"א מגורדים בשילוב ביצים ותבלינים. נהוג להגיש מלוח או מתוק לצד רסק תפו"ע ושמנת חמוצה.
latte|late	1. חלב (איטלקית)<BR>2. קפה לטה הינו שוט של אספרסו עם חלב חם ומעט קצף.
lattice	שבכה, רשת, שתי וערב, סורג<BR>(פ') ליצור שבכה/רשת, לסדר בשתי וערב.
leaf gelatin	עלי ג'לטין - עלי ג'לטים עדינים לאפיה ובישול
leaf lard	דפי/עלי שומן (של חזיר) לבישול ותיבול
leberkaese sausage|leberk?se|leberk?se sausage|leberkaese	מגרמנית "כבד גבינה" - פטה חזיר עדין וחלק המכיל ביצים, בצלים ושום.
lebkuchen	עוגיית ג'ינג'ר (gingerbread), ספציאליטה של העיירה הגרמנית נרינברג - עוגייה "שמנה" דמויית עוגה ממותקת בדבש ומלאה בתבלינים, לימון ושקדים
lecithin	לציטין - חומר שומני המצוי בצמחים, חלמוני ביצים ורקמות חיות בו משתמשים לשמר, לתחלב וללחלח מזון. קל-שמן (לטיגון ושימון תבניות) הוא למעשה ספריי של שמן לציטיני מן הצומח
