##name	EU Terminology
##sourceLang	English
##targetLang	Turkish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1254
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1254
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/10/26, 10:16
##author	SMB
##email	smbulut@hotmail.com
##description	
##browsingEnabled	
##bgl_creationTime	2002/10/26, 10:15
8EAF66FD.bmp	File: 8EAF66FD.bmp
to submit a dispute to the Court of Justice (eec182)|to submit a dispute to the Court of Justice	bir uyuşmazlığı Adalet Divanına götürmek
to suspend the measures	önlemleri askıya almak
to suspend the measures (eec109(3))|to suspend the measures (eec109	önlemleri askıya almak
to sustain development	gelişmeyi sürdürmek
to table a motion of censure (144)|to table a motion of censure	gensoru önergesi vermek
to take a decision	karar almak
to take a decision (33(2))|to take a decision (33	karar almak
to take an oath	ant içmek
to take care not to prejudice the financial stability (eec6)|to take care not to prejudice the financial stability	mali istikrarı tehlikeye düşürmemeye dikkat etmek
to take up an activity	meslek edinmek
to waive immunity	dokunulmazlığı kaldırmak
TOOR	işletme hakkı devri
Tourism	turizm
trade	ticaret
trade balance deficit	dış ticaret açığı
trade in goods	mal ticareti
trade in goods (9(1))|trade in goods (9	mal ticareti
trade registry	ticaret sicili
trading companies	ticari şirket
traffic	trafik; ticaret, alışveriş
training	eğitim
transaction	işlem
Transboundary Environmental Impact Assessment Convention	Sınıraşırı Çevresel Etki Değerlendirmesi Sözleşmesi
transboundary movement of pollutants	kirleticilerin sınır ötesi taşınımı
transfer	devretmek, aktarmak
transfer of operating rights	işletme hakkı devri
transfer of operating rights (TOOR)|transfer of operating rights	işletme hakkı devri
transfer of the seat of a company or firm	bir şirket merkezinin yer değiştirmesi
transfer of the seat of a company or firm (eec229(4))|transfer of the seat of a company or firm (eec229	bir şirket merkezinin yer değiştirmesi
transfer of undertaking	İşletme devri
transit	transit
transit charges	transit geçiş vergileri
transport	taşımacılık, ulaştırma
transport policy	ulaştırma politikası
transposition	aktarım
treasury domestic payments accountant	hazine iç ödemeler saymanı
treasury transactions report	hazine işlemleri raporu
treatment	arıtma
treatment facility	arıtma tesisi
treaty	antlaşma
Treaty establishing a Single Council and a Single Commission of the European	Communities (Merger Treaty) (1965)
Treaty establishing the European Atomic Energy Community	Avrupa Atom Enerjisi Topluluğunu Kuran Antlaşma
Treaty establishing the European Coal and Steel Community	Avrupa Kömür ve Çelik Topluluğunu Kuran Antlaşma
Treaty establishing the European Community	Avrupa Topluluğunu Kuran Antlaşma
Treaty establishing the European Economic Community	Avrupa Ekonomik Topluluğunu Kuran Antlaşma
Treaty of Maastricht	Avrupa Birliği Antlaşması (AB Antlaşması 1991 Maastricht Antlaşması)
Treaty of Paris	Avrupa Kömür ve Çelik Topluluğunu Kuran Antlaşma (Paris Antlaşması 1951)
Treaty of Rome	Avrupa Ekonomik Topluluğunu Kuran Antlaşma (Roma Antlaşması 1957)
Treaty on European Union (TEU)|Treaty on European Union	Avrupa Birliği Antlaşması (AB Antlaşması)
Treaty on the European Union	Avrupa Birliği Antlaşması (AB Antlaşması 1991 Maastricht Antlaşması)
turnkey lump sum price	anahtar teslimi götürü bedel
turnover tax	(iş hacmi), ciro vergisi
type approval laboratory	tip onay laboratuarı
type examination laboratory	tip inceleme laboratuarı
unanimity	oybirliği
unanimous approval	oybirliği ile onay
unanimously	oybirliğiyle
under-developed areas (eec80(2))|under-developed areas (eec80	az gelişmiş bölgeler
under their jurisdiction	kendi yargı yetkileri dahilinde
underemployment	eksik istihdam
undertaking	işletme, teşebbüs, girişim
undertakings entrusted with the operation	işin idaresi ile yükümlü işletmeler
unemployed	işsiz
unemployment	İşsizlik
unfair competition	haksız rekabet
unfair competitive practices (ecsc60)|unfair competitive practices	haksız rekabet uygulamaları
unfair terms in consumer contracts	tüketici sözleşmelerindeki haksız koşullar
union	birlik
Union of Industrial and Employer's Confederations of Europe(UNICE)|Union of Industrial and Employer's Confederations of Europe	Avrupa Sanayici ve İşveren Konfederasyonları Birliği
Union of Industrial and Employers Confederations of Europe(UNICE)|Union of Industrial and Employers Confederations of Europe	Avrupa Sanayici ve İşveren Konfederasyonları Birliği
Union of Industries of the European Community	Avrupa Topluluğu Sanayileri Birliği
unit	birim
unit of measurement	ölçü birimi
unit of measurement (eec119(3,a))|unit of measurement (eec119	ölçü birimi
unit price	birim fiyat
unlimited company (general partnership)|unlimited company	kollektif şirket
unlimited jurisdiction (eec172)|unlimited jurisdiction	tam yargı yetkisi
unregistered employment	kayıt dışı istihdam
up to the amount of their share of capital	kendi sermaye hisselerine düşen miktarına kadar
urban	kentsel
urban and industrial waste	kentsel ve endüstriyel atıklar
urban population	kentsel nüfus
urgent	acil
Uruguay Round Multilateral Trade Negotiations	Uruguay Turu Çoktaraflı Ticaret Müzakereleri
use	kullanmak
use of free loan	karşılıksız olarak; hibe
use on free loan	karşılıksız olarak
user's manual	kullanım kılavuzu
utility water	kullanma suyu
vade-mecum	elkitabı
value	değer
variable component	değişken unsur
vehicle	araç
venture capital	risk sermayesi
verification	tahkik
verification of financial statements	mali bildirimin tahkiki
verification of licences	ruhsatların tahkiki
veterinary products	veterinerlik ürünleri
veto	veto
visa	vize
vocation	meslek
vocational rehabilitation	mesleki rehabilitasyon
vocational retraining	mesleki yeniden eğitim
vocational training	mesleki eğitim
void	hükümsüz
vote	oy kullanmak
wage	ücret
wage level	ücret düzeyi
wage level (eec125(1,b))|wage level (eec125	ücret düzeyi
waive	kaldırmak
war	savaş
warn	uyarmak
warning level	uyarı düzeyi
warranty	garanti
waste	atık
waste oils	atık yağlar
waste water treatment facility	atık su arıtma tesisi
water	su
watermarked visa label	filigranlı vize etiketi
wetland	sulak alan
when Member States adopt these measures	üye devlet bu önlemleri kabul ettiğinde
where appropriate	uygun olduğu hallerde
whereas	...dığından
white paper	beyaz kitap
wildlife protection areas	yaban hayatı koruma alanı
withdraw	geri çek(il)mek
withdrawal of the marketed product	ürünün piyasadan toplatılması
within	içinde, içerisinde
within the framework of the task	görev çerçevesinde
within the limits of its power	yetkileri dahilinde
within the limits of the powers conferred by this treaty	işbu antlaşma tarafından kendisine verilen yetkiler dahilinde
within the prescribed time	tanınan süre içinde
within the terms of the judgment of the Court	divan kararı (hükmü) çerçevesinde
within three months of the date of	itibaren üç aylık bir süre içinde
without prejudice to the provisions	hükümler saklı kalmak koşuluyla
work	iş
work at piece rates	parça başına çalışma
work at time rates	zaman esasına gö
World Trade Organisation (WTO)|World Trade Organisation	Dünya Ticaret Örgütü (DTÖ)
WTO Ministerial Declaration on Trade of the Information Technology Products	DTÖ Bilgi Teknolojisi Ürünleri Ticaretine İlişkin Bakanlar Deklarasyonu
Ýllegal trafficking in drugs	yasadışı uyuşturucu madde ticareti
ýnsurance premium	sigorta primi
